Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0359	1	EA1010	LTN1	"Liverpool Street platforms 1-10 –
Liverpool St (L) IECC"	0	00	0	22	Y	N	N	N	N	N	N	Y	
Anglia	0359	2	EA1010	LVS	"Liverpool Street platforms 11-18 –
Liverpool St (L) IECC"	0	00	0	22	R1	N	N	N	N	N	N	R1	"R1Liverpool Street Platforms 11-18 diesel traction
see Sectional Appendix Local Instructions"
Anglia	0359	3	EA1010	LTN1	"Liverpool St (L) IECC – Bethnal Green
East Jn"	0	22	1	10	Y	N	N	N	N	N	N	Y	
Anglia	0359	4	EA1010	LTN1	Bethnal Green East Jn – Mile End	1	10	2	02	Y	N	N	N	N	N	N	Y	
Anglia	0359	5	EA1010	LTN1	Mile End – Bow Jn	2	02	2	74	Y	N	N	N	N	N	N	Y	
Anglia	0359	6	EA1010	LTN1	Bow Jn – Carpenters Road South Jn	2	74	3	54	Y	N	N	N	N	N	N	Y	
Anglia	0359	7	EA1010	LTN1	"Carpenters Road South Jn – Stratford
Central Jn West"	3	54	3	70	Y	N	N	N	N	N	N	Y	
Anglia	0359	8	EA1010	LTN1	"Stratford Central Jn West – Stratford
Central Jn East"	3	70	3	75	Y	N	E	N	N	N	N	Y	
Anglia	0359	9	EA1010	LTN1	"Stratford Central Jn East – Forest
Gate Jn"	3	75	5	63	Y	N	"E
R1"	N	"E
R1
R2"	"E
R1
R2"	"E
R3"	Y	"R1Prohibited Stratford platform 5
R2Prohibited with footsteps fitted
R3Prohibited Maryland Platform 3"
Anglia	0359	10	EA1010	LTN1	"Forest Gate Jn – Ilford Depot London
End"	5	63	7	63	Y	N	"E
R1
R2"	N	"E
R3
R4"	"E
R3
R4"	E	Y	"R120mph Manor Park platform 1
R220mph Ilford platforms 2, 3 and 4
R3Prohibited Ilford platforms 2 and 3
R4Prohibited with footsteps fitted"
Anglia	0359	11	EA1010	LTN1	"Ilford Depot London End – Seven
Kings"	7	63	8	45	Y	"E
R1"	E	N	N	N	N	Y	R1Prohibited with footsteps fitted
Anglia	0359	12	EA1011	LTN1	Seven Kings – Romford Jn	8	45	12	39	Y	"E
R1"	"E
R2"	N	N	N	N	Y	"R1Prohibited with footsteps fitted
R2Prohibited Chadwell Heath platform 1"
Anglia	0359	13	EA1011	LTN1	Romford Jn – Shenfield Jn	12	39	20	22	Y	"E
R1"	"E
R2
R3"	N	N	N	N	R4	"R1Prohibited with footsteps fitted
R2Prohibited Harold Wood platform 3
R340mph Harold Wood platform 4
R4Prohibited Harold Wood platform 3 (Up
Electric) with deflated suspension"
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0360	1	EA1011	LTN1	Marks Tey Jn – Colchester Jn	46	49	51	65	Y	R1	Y	N	N	N	N	Y	R1Prohibited Colchester platform 2
Anglia	0360	2	EA1011	LTN1	Shenfield Jn – Witham Jn	20	22	38	55	Y	"E
R1"	E	N	N	N	N	Y	R1Prohibited with footsteps fitted
Anglia	0360	3	EA1011	LTN1	Witham Jn – Marks Tey Jn	38	55	46	49	Y	Y	E	N	N	N	N	Y	
Anglia	0360	4	EA1011	LTN1	Marks Tey Jn – Colchester Jn	46	49	51	65	Y	R1	Y	N	N	N	N	Y	R1Prohibited Colchester platform 2
Anglia	0360	5	EA1011	LTN1	Colchester Jn – Manningtree South Jn	51	65	59	46	Y	"R1
R2
R3"	Y	N	N	N	N	Y	"R115mph Manningtree platform 2 when laden and
30mph when ECS
R215mph Manningtree  platform 3 – ECS only
R3Prohibited Manningtree platform 4"
Anglia	0360	6	EA1011	LTN1	"Manningtree South Jn – Manningtree
North Jn"	59	46	59	69	Y	Y	Y	N	N	N	N	Y	
Anglia	0360	7	EA1011	LTN1	Manningtree North Jn – Ipswich	59	69	68	59	Y	Y	Y	Y	N	N	N	Y	
Anglia	0360	8	EA1012	LTN1	Ipswich – East Suffolk Jn	68	59	69	41	Y	Y	Y	R1	N	N	N	Y	R115mph Ipswich platform 2
