Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	158	159	165	166 RHM	Notes
Kent-Sussex-Wessex	0817	1	SO110	VIR	"Victoria platforms 1-8 – Battersea Pier
Jn"	0	00	0	70	N	N	N	N	N	
Kent-Sussex-Wessex	0817	2	SO110	BSP1	"Battersea Pier Jn – Connection to
Stewarts Lane Up and Down lines (via
Battersea Reversible)"	0	71	1	33	N	N	N	N	N	
Kent-Sussex-Wessex	0817	3	SO110	VIR	Battersea Pier Jn – Linford Street Jn	0	70	1	45	N	N	N	N	N	
Kent-Sussex-Wessex	0817	4	SO110	AHG	"Linford Street Jn – Route Boundary
(SW100) (Nine Elms Jn)"	2	50	2	00	N	N	N	N	N	
Kent-Sussex-Wessex	0817	5	SO110	VIR	Linford Street Jn – Factory Jn	1	45	1	61	N	N	N	N	N	
Kent-Sussex-Wessex	0817	6	SO110	FLL1	Factory Jn – Longhedge Jn	0	40	0	03	N	N	N	N	N	
Kent-Sussex-Wessex	0817	7	SO110	VIR	Factory Jn – Shepherds Lane Jn	1	61	2	70	N	N	N	N	N	
Kent-Sussex-Wessex	0817	8	SO110	VIR	Shepherds Lane Jn – Brixton Jn	2	70	3	08	N	N	N	N	N	
Kent-Sussex-Wessex	0817	9	SO110	VIR	Brixton Jn – Herne Hill North Jn	3	08	3	70	N	N	N	N	N	
Kent-Sussex-Wessex	0817	10	SO110	VIR	"Herne Hill North Jn – Herne Hill South
Jn"	3	70	4	06	N	N	N	N	N	
Kent-Sussex-Wessex	0817	11	SO110	HHT	"Herne Hill South Jn – Route Boundary
Sussex (Tulse Hill)"	4	06	4	63	N	N	N	N	N	
Kent-Sussex-Wessex	0817	12	SO110	HHT	"Route Boundary Kent (Herne Hill
South Jn) – Tulse Hill North Jn"	4	63	4	76	N	N	N	N	N	
Kent-Sussex-Wessex	0817	13	SO110	HHT	"Route Boundary Kent (Herne Hill
South Jn) – Tulse Hill Substation via
platforms 1 and 2"	4	63	5	15	N	N	N	N	N	
Kent-Sussex-Wessex	0817	14	SO110	VIR	Herne Hill South Jn – Beckenham Jn	4	06	8	43	N	N	N	N	N	
Kent-Sussex-Wessex	0817	15	SO110	VIR	Beckenham Jn – Shortlands Jn	8	43	9	57	N	N	N	N	N	
