Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0980	1	LN101	ECM1	ings Cross – Copenhagen Jn	0	00	0	64	N	N	N	Y	N	N	Y	Y	Y	
London-North-Eastern	0980	2	LN101	ECM1	Copenhagen Jn – Holloway South / North Jns	0	64	1	44	N	N	N	Y	N	N	Y	Y	Y	
London-North-Eastern	0980	3	LN101	ECM1	"Holloway South / North Jns –  Wood Green
North Jn"	1	44	5	07	N	N	N	Y	N	N	Y	Y	Y	
London-North-Eastern	0980	4	LN101	ECM1	ood Green North Jn –  Langley Jn	5	07	25	73	N	N	N	Y	N	N	Y	R1	R1	"R1Prohibited New Southgate Up
Slow platform 1 (6m 35ch)"
London-North-Eastern	0980	5	LN101	ECM1	Langley Jn – St Neots	25	73	51	58	N	N	N	Y	R1	N	Y	Y	Y	"R1Prohibited between Langley Jn
and Hitchin"
London-North-Eastern	0980	6	LN101	ECM1	St Neots – Fletton Jn	51	58	75	02	N	N	N	Y	Y	R1	Y	Y	Y	"R1Prohibited between St Neots and
Huntingdon"
London-North-Eastern	0980	7	LN101	ECM1	Fletton Jn – Peterborough	75	02	76	29	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0980	8	LN101	ECM1	eterborough – Newark North Gate	76	29	120	08	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0980	9	LN101	PMJ	Peterborough – Helpston Jn via Stamford lines	22	19	16	71	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0980	10	LN101	ECM1	ewark North Gate – Retford	120	08	138	49	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0980	11	LN101	ECM1	Retford – Loversall Carr Jn	138	49	150	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0980	12	LN101	ECM1	oversall Carr Jn – Marshgate Jn	152	00	156	26	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0980	13	LN101	ECM1	Marshgate Jn – Shaftholme Jn	156	26	160	16	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0980	14	LN105	MEB1	Moorgate – Drayton Park	0	00	2	56	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0980	15	LN105	MEB1	Drayton Park – Finsbury Park Jn	2	56	3	37	N	N	N	Y	N	N	N	N	N	
London-North-Eastern	0980	16	LN110	CFP	"Route Boundary (EA1320) (Canonbury West
Jn) - Finsbury Park Jn"	3	20	4	33	N	N	N	Y	N	N	E	N	N	
London-North-Eastern	0980	17	LN115	CRF1	"openhagen Jn – Route Boundary (EA1320)
(North London Incline)"	0	00	0	20	N	N	N	Y	N	N	N	N	N	
London-North-Eastern	0980	18	LN120	HDB	Wood Green Jn – Langley Jn via Hertford	5	07	28	15	N	N	N	Y	N	N	Y	N	N	
London-North-Eastern	0980	19	LN125	SBR	Cambridge Jn – Route Boundary (EA1230)	32	11	45	60	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0980	20	LN126	DCF	itchin North Jn – Hitchin East Jn	32	53	34	05	N	N	N	Y	N	N	Y	Y	Y	
London-North-Eastern	0980	21	LN135	EMP	"Route Boundary (EA1560) (Ely West Jn) –
Crescent Jn"	98	40	100	66	N	N	N	Y	Y	Y	Y	Y	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0981	1	LN147	PMJ	Helpston Jn – Route Boundary (LN3615)	16	71	13	60	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	2	LN150	SPD5	Flyover East – Decoy North Jn	116	20	117	46	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	3	LN155	LCJ	"Flyover East Jn – Loversall Jn (Up Loversall
Curve)"	152	79	152	36	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	4	LN160	LCR	Loversall Carr Jn – Rossington Colliery Jn	152	00	152	12	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	5	LN160	FWR1	Rossington Colliery Jn – Flyover West Jn	152	12	153	19	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	6	LN165	HPW	"Route Boundary (EA1370) (Harringay Park Jn)
– Harringay Jn"	0	14	0	03	N	N	N	Y	N	N	N	N	N	
London-North-Eastern	0981	7	LN170	WEB	"Werrington Jn – Site of Former Spalding South
Jn"	79	34	92	58	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	8	LN170	SPD1	"Site of Former Spalding South Jn – Sleaford
South Jn"	44	07	62	14	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	9	LN170	SPD2	Sleaford South Jn – Sleaford North Jn	62	14	63	48	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	10	LN170	SPD2	"Sleaford North Jn – Site of Former Greetwell
West Jn"	63	48	81	25	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	11	LN170	SPD3	"Site of Former Greetwell West Jn – Trent East
Jn"	81	25	98	56	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	12	LN170	MAC3	Trent East Jn – Trent West Jn	73	25	73	11	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	13	LN170	SPD4	Trent West Jn – Bessacarr Jn	98	68	115	72	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	14	LN170	SPD5	Bessacarr Jn –  Doncaster, Flyover East Jn	115	72	116	20	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	15	LN175	SSE	Sleaford South Jn –  Sleaford East Jn	0	00	0	43	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	16	LN180	SNW	Sleaford West Jn –  Sleaford North Jn	1	34	3	42	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	17	LN185	ABE1	"Allington West Jn –  Site of Former Barkston
East Jn"	0	00	4	08	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	18	LN185	GRS1	"Barkston East Jn – Site of Former Honington
Jn"	110	12	112	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	19	LN185	GRS2	"Site of Former Honington Jn – Sleaford West
Jn"	112	00	120	29	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	20	LN185	GRS2	Sleaford West Jn – Sleaford East Jn	120	29	121	21	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	21	LN185	GRS2	"Sleaford East Jn – Site of Former Boston
Sleaford Line Jn"	121	21	137	06	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0981	22	LN185	GRS3	"Site of Former Boston Sleaford Line Jn –
Boston"	106	70	107	24	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0982	1	LN185	GRS3	Boston – Site of Former Firsby East Jn	107	24	122	22	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	2	LN185	GRS4	Site of Former Firsby East Jn - Skegness	0	28	9	17	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	3	LN190	ACD	"Allington East Jn – Allington North Jn (Allington
Chord)"	0	00	0	25	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	4	LN195	NOG1	"Nottingham Branch Jn – Route Boundary
(LN3635) (Rectory Jn SB)"	106	08	111	60	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	5	LN200	NOB3	Wrawby Jn – Pelham Street Jn	12	55	41	26	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0982	6	LN206	NOB1	"Route Boundary (LN3625) (Nottingham East
Jn) – Coulson Change of  ELR"	16	02	32	00	R1	R1	R1	Y	Y	Y	Y	Y	Y	"R1Prohibited between Route
Boundary (LN3625) (Nottingham
East Jn) and Newark Crossing
East Jn"
