Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0815	1	NW1001	LEC2	"Armitage Jn (MD101) (Sectional
Appendix Boundary) – Rugeley North Jn"	119	20	124	39	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0815	2	NW1001	LEC2	Rugeley North Jn – Colwich Jn	124	39	127	05	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0815	3	NW1001	LEC2	"Colwich Jn – Stafford Trent Valley Jn
No.1"	127	05	133	06	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0815	4	NW1001	LEC3	"Stafford Trent Valley Jn No.1 – Change of
ELR (North of Stafford)"	133	06	133	60	Y	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0815	5	NW1001	LEC4	"Change of ELR (North of Stafford) –Little
Bridgeford  Jn"	133	60	137	42	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0815	6	NW1001	LEC4	Little Bridgeford Jn – Heamies Bridge	137	42	140	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0815	7	NW1001	LEC6	"Little Bridgeford Jn – Heamies Bridge
(Down Slow line only)"	137	42	139	64	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0815	8	NW1001	LEC4	Heamies Bridge  – Basford Hall Jn	140	00	156	16	Y	N	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0815	9	NW1001	LEC4	"Basford Hall Jn – Change of ELR (Crewe
South)"	156	16	157	20	Y	N	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0815	10	NW1001	LEC5	"Change of ELR (Crewe South) – Crewe
South Jn"	157	20	157	60	Y	N	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0815	11	NW1001	LEC5	Crewe South Jn – Crewe North Jn	157	60	158	18	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0815	12	NW1001	LEC5	"Crewe North Jn – Change of ELR
(Between Crewe Coal Yard and Winsford
South Jn)"	158	18	159	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
