Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0956	1	SC001	WCM1	"Route Boundary (NW4001) (Gretna Jn) –
Lockerbie"	12	30	25	66	N	N	N	Y	Y	Y	Y	
Scotland	0956	2	SC001	WCM1	Lockerbie – Law Jn	25	66	84	08	N	N	N	Y	Y	Y	Y	
Scotland	0956	3	SC001	WCM2	"Law Jn – Junction with Coatbridge lines
(Lesmahagow Jn)"	84	08	89	51	N	N	N	Y	Y	Y	Y	
Scotland	0956	4	SC001	WCM2	"Junction with Coatbridge lines
(Lesmahagow Jn) – Newton East Jn"	89	51	95	14	N	N	N	Y	Y	Y	Y	
Scotland	0956	5	SC001	WCM2	"Newton East Jn – Newton Hamilton Jn
(SC0023) via South Connecting Line"	95	14	95	47	N	N	N	Y	Y	Y	Y	
Scotland	0956	6	SC001	WCM2	"Newton Kirkhill Jn (SC0023) – Newton
West Jn via North Connecting Line"	95	77	96	34	N	N	N	Y	Y	Y	Y	
Scotland	0956	7	SC001	WCM2	Newton East Jn – Newton West Jn	95	14	96	34	N	N	N	Y	Y	Y	Y	
Scotland	0956	8	SC001	WCM2	Newton West Jn – Rutherglen East Jn	96	34	98	32	N	N	N	Y	Y	Y	Y	
Scotland	0956	9	SC001	WCM2	Rutherglen East Jn – Larkfield Jn	98	32	100	65	N	N	N	Y	Y	Y	Y	
Scotland	0956	10	SC001	WCM2	Larkfield Jn – Eglinton St Jn	100	65	101	39	N	N	N	Y	Y	Y	Y	
Scotland	0956	11	SC001	WCM2	Eglinton St Jn – Bridge St Jn	101	39	101	53	N	N	N	Y	Y	Y	Y	
Scotland	0956	12	SC001	WCM2	Bridge St Jn – Glasgow Central	101	53	102	27	N	N	N	Y	Y	Y	Y	
Scotland	0956	13	SC003	ECA1	Carstairs South Jn – Carstairs East Jn	73	17	73	48	N	N	N	Y	Y	Y	Y	
Scotland	0956	14	SC003	ECA2	Carstairs East Jn – Slateford Jn	74	10	99	01	N	N	N	Y	Y	Y	Y	
Scotland	0956	15	SC003	ECA3	Slateford Jn – Haymarket East Jn	99	01	100	41	N	N	N	Y	Y	Y	Y	
Scotland	0956	16	SC005	CSP	Carstairs Station Jn – Carstairs East Jn	73	37	74	10	N	N	N	Y	Y	Y	Y	
Scotland	0956	17	SC007	EGS2	Midcalder Jn – Holytown Jn	23	11	1	27	N	N	N	Y	Y	Y	Y	
Scotland	0956	18	SC009	LNK	Lanark – Lanark Jn	2	45	0	03	N	N	N	Y	Y	Y	N	
Scotland	0956	19	SC011	WWD	Law Jn – Holytown Jn	84	08	89	66	N	N	N	Y	Y	Y	Y	
Scotland	0956	20	SC011	EGS2	Holytown Jn – Mossend East Jn	1	27	0	40	N	N	N	Y	Y	Y	Y	
Scotland	0956	21	SC011	EGS1	Mossend East Jn – Uddingston Jn	3	63	0	03	N	N	N	Y	Y	Y	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0957	1	SC013	SHR	Wishaw Central Jn – Shieldmuir Jn	86	63	87	43	N	N	N	Y	Y	Y	Y	
Scotland	0957	2	SC015	MDN	"Mossend East Jn – Mossend North Jn
(North Curve)"	0	40	0	06	N	N	N	Y	Y	Y	Y	
Scotland	0957	3	SC017	MDE	"Mossend East Jn – Mossend South Jn
(East Curve)"	0	31	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0957	4	SC019	MDW	"Mossend South Jn – Mossend West Jn
(West Curve)"	91	08	91	50	N	N	N	Y	Y	Y	Y	
Scotland	0957	5	SC021	COS2	Coltness – Change of ELR	0	09	0	00	N	N	N	N	N	N	N	
Scotland	0957	6	SC021	COS1	Change of ELR – Garriongill Jn	14	15	15	29	N	N	N	N	N	N	N	
Scotland	0957	7	SC023	HMN1	Motherwell – Change of ELR	0	08	1	44	N	N	N	Y	Y	Y	Y	
Scotland	0957	8	SC023	HMN2	Change of ELR – Newton, Hamilton Jn	6	61	0	00	N	N	N	Y	Y	Y	R1	R115mph Blantyre up platform
Scotland	0957	9	SC024	LRK	Larkhall – Haughhead Jn	3	00	0	00	N	N	N	N	N	N	N	
Scotland	0957	10	SC025	ARG1	"Rutherglen Central Jn – Bridgeton Yard
North End"	0	00	0	43	N	N	N	Y	Y	Y	"E
R1"	"R1Prohibited between Rutherglen North Jn
and Bridgeton Yard North End Jn"
Scotland	0957	11	SC025	ARG2	"Bridgeton Yard North End – Exhibition
Centre"	0	86	4	03	N	N	N	Y	Y	Y	N	
Scotland	0957	12	SC025	ARG2	"Exhibition Centre – Finnieston East Jn
(Down line)"	4	03	4	41	N	N	N	Y	Y	Y	N	
Scotland	0957	13	SC025	ARG2	"Exhibition Centre – Finnieston West Jn
(Up line)"	4	03	4	74	N	N	N	Y	Y	Y	N	
Scotland	0957	14	SC027	RNC	"Rutherglen West Jn – Rutherglen North
Jn (West Curve)"	0	00	0	29	N	N	N	Y	Y	Y	E	
Scotland	0957	15	SC029	CLY	Larkfield Jn – Terminus Jn	101	01	101	62	N	N	N	Y	Y	Y	E	
Scotland	0957	16	SC029	BRD	"Terminus Jn – Shields Jn via Through
Terminus lines"	101	62	102	16	N	N	N	Y	Y	Y	E	
Scotland	0957	17	SC029	CLY	Terminus Jn – Shields Jn	101	62	102	16	N	N	N	Y	Y	Y	E	
Scotland	0957	18	SC031	GSW	"Route Boundary (NW4031) (Gretna Jn)
– Old Route boundary (109m 00ch
between Eastriggs and Annan)"	115	40	109	00	R1	R1	R1	Y	Y	Y	E	"R1Prohibited between Kilmarnock and Old
Route boundary (109m 00ch between
Eastriggs and Annan)"
Scotland	0957	19	SC031	GSW	"Old Route boundary (109m 00ch
between Eastriggs and Annan) –
Change of ELR"	109	0	33	44	N	N	N	Y	Y	Y	E	
Scotland	0957	20	SC031	GBK	Change of ELR – Muirhouse South Jn	23	44	1	18	N	N	N	Y	Y	Y	E	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0958	1	SC031	MEN2	"Muirhouse South Jn – Muirhouse Central
Jn"	0	00	0	15	N	N	N	Y	Y	Y	E	
Scotland	0958	2	SC031	MEN1	Muirhouse Central Jn – Eglinton St Jn	0	19	0	70	N	N	N	Y	Y	Y	Y	
Scotland	0958	3	SC031	WCM2	Eglinton St Jn – Bridge St Jn	101	39	101	53	N	N	N	Y	Y	Y	Y	
Scotland	0958	4	SC031	WCM2	Bridge St Jn – Glasgow Central	101	53	102	27	N	N	N	Y	Y	Y	Y	
Scotland	0958	5	SC035	KSH	"Bank Jn – Network Rail Boundary
(Connel Park LC) / Knockshinnoch"	54	05	55	28	N	N	N	N	N	N	N	
Scotland	0958	6	SC036	GNN	"Greenburn Jn – Greenburn Open Cast
(Goods Line)"	0	00	0	55	N	N	N	N	N	N	N	
Scotland	0958	7	SC037	RIC1	Kay Park Jn – Bellfield	0	00	1	06	N	N	N	N	N	N	N	
Scotland	0958	8	SC037	RIC2	Bellfield – Riccarton (Goods Line)	2	20	1	75	N	N	N	N	N	N	N	
Scotland	0958	9	SC039	BAK	Kilmarnock – Barassie	0	05	7	56	Y	Y	Y	Y	Y	Y	E	
Scotland	0958	10	SC045	EKE	East Kilbride – Busby Jn	7	60	0	40	N	N	N	Y	Y	Y	E	
Scotland	0958	11	SC047	LFS2	Muirhouse South Jn – Change of ELR	1	19	0	61	N	N	N	Y	Y	Y	E	
Scotland	0958	12	SC047	LFS1	Change of ELR – Larkfield Jn	101	17	101	01	N	N	N	Y	Y	Y	E	
Scotland	0958	13	SC049	TSS	Muirhouse Central Jn – Terminus Jn	0	04	0	40	N	N	N	Y	Y	Y	E	
Scotland	0958	14	SC051	CTC	"Muirhouse Central Jn – Cathcart North
Jn (via Cathcart)"	5	19	1	63	N	N	N	Y	Y	Y	N	
Scotland	0958	15	SC051	CTC	"Cathcart North Jn – Muirhouse North Jn
(via Crosshill)"	1	63	0	00	N	N	N	Y	Y	Y	N	
Scotland	0958	16	SC053	NNH	Neilston – Cathcart West Jn	108	45	100	77	N	N	N	Y	Y	Y	N	
Scotland	0958	17	SC055	WCM2	"Newton, Hamilton Jn – Newton Kirkhill
Jn"	95	53	95	77	N	N	N	Y	Y	Y	N	
Scotland	0958	18	SC055	KHL	Newton Kirkhill Jn – Cathcart West Jn	95	77	100	77	N	N	N	Y	Y	Y	N	
Scotland	0958	19	SC057	CNC	Cathcart East Jn – Cathcart North Jn	0	45	0	00	N	N	N	Y	Y	Y	N	
Scotland	0958	20	SC059	WCM2	Glasgow Central – Bridge St Jn	102	27	101	53	N	N	N	Y	Y	Y	E	
Scotland	0958	21	SC059	AYR1	Bridge St Jn – Cook St	0	00	0	19	N	N	N	Y	Y	Y	E	
Scotland	0958	22	SC059	LYE	"Cook St – High St Line (Smithy Lye
through line)"	0	00	0	44	N	N	N	Y	N	Y	E	
Scotland	0958	23	SC059	AYR1	Cook St – Shields Jn	0	19	1	00	N	N	N	Y	Y	Y	E	
Scotland	0958	24	SC059	AYR1	"Shields Jn – Change of ELR (Paisley
Gilmour Street)"	1	00	6	53	Y	Y	Y	Y	Y	Y	E	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0959	1	SC059	AYR2	"Change of ELR (Paisley Gilmour Street)
– Change of ELR (Brown Street
crossover)"	6	73	7	00	Y	Y	Y	Y	Y	Y	E	
Scotland	0959	2	SC059	AYR3	"Change of ELR (Brown Street crossover)
– Change of ELR (Dalry)"	7	00	23	00	Y	Y	Y	Y	Y	Y	"E
R1"	R160mph Lochwinnoch down platform
Scotland	0959	3	SC059	AYR4	"Change of ELR (Dalry) – Change of ELR
(Barassie Jn)"	23	00	33	08	Y	Y	Y	Y	Y	Y	"E
R1
R2"	"R140mph Kilwinning up platform
R2Prohibited between Barassie and Change
of ELR (Barassie Jn)"
