Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	171	172	175	180	220	221	222	Notes
Anglia	0377	1	EA1540	SOB1	"Chippenham Jn – Site of Former
Snailwell Jn"	0	63	0	00	N	N	N	N	N	N	N	
Anglia	0377	2	EA1540	SOB2	"Site of Former Snailwell Jn  – Ely
Dock Jn"	1	54	12	33	N	N	N	N	N	N	N	
Anglia	0377	3	EA1550	EWC	"Ely North Jn – Ely West Jn (Ely West
Curve)"	71	63	72	63	N	N	N	N	N	N	N	
Anglia	0377	4	EA1560	EMP	Ely North Jn – Ely West Jn	71	63	72	39	N	N	N	Y	N	N	Y	
Anglia	0377	5	EA1560	EMP	"Ely West Jn – Route Boundary
(LN135) (Peterborough)"	72	39	98	40	N	N	N	R1	N	N	R1	"R1Must be planned as a non-stop train between
Cambridge and Peterborough"
Anglia	0377	6	EA1570	WIG	March East Jn – Whitemoor Jn	85	78	86	18	N	N	N	N	N	N	N	
Anglia	0377	7	EA1570	MWL	March West Jn – Whitemoor Jn	0	00	0	13	N	N	N	N	N	N	N	
Anglia	0377	8	EA1570	WIG	Whitemoor Jn – Wisbech	86	18	93	60	N	N	N	N	N	N	N	Line out of use (temporarily)
Anglia	0377	9	EA1580	ETN	Ely North Jn – Trowse Jn	71	72	123	00	N	N	N	N	N	N	Y	
Anglia	0377	10	EA1744	BFC	Europa Jn – Boss Hall Jn	0	00	0	63	N	N	N	N	N	N	N	
