Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	313	315	317	319	321	322	325	345	357	357 MOD	Notes
Anglia	0384	1	EA1325	ELL1	"Network Rail Boundary (TFL ELL) –
Canal Jn (TFL Infrastructure)"	2	17	5	21	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	2	EA1325	ELL1	"Canal Jn – TFL / Network Rail
Boundary (SO510) (Via Up East
London Line) (TFL Infrastructure)"	5	21	5	52	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	3	EA1325	ELL1	"Canal Jn – TFL / Network Rail
Boundary (SO510) (Via Down East
London Line) (TFL Infrastructure)"	5	21	5	73	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	4	EA1325	ELL2	"Canal Jn – Lewisham (TFL
Infrastructure)"	5	21	5	78	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	5	EA1327	ELL3	"Silwood Jn  – ELL/Network Rail
Boundary (TFL Infrastructure)"	4	66	5	51	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	6	EA1327	ELL4	"ELL/Network Rail Boundary – Old
Kent Road Jn (SO680)"	2	23	2	32	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	7	EA1330	BOK 5	South Acton Jn – Kew East Jn	2	52	3	27	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	8	EA1330	NKE1	"Kew East Jn – Route Boundary
(SW230) (New Kew Jn)"	3	27	3	39	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	9	EA1330	BOK5	"Kew East Jn – Route Boundary
(SW230) (Old Kew Jn)"	3	27	3	61	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	10	EA1340	LLS2	Lea Jn – High Meads Jn	0	51	0	65	N	Y	Y	N	Y	Y	H	E	N	N	
Anglia	0384	11	EA1350	CHM	"Channelsea North Jn – High Meads
Jn"	0	00	0	15	N	Y	Y	N	Y	Y	H	E	N	N	
Anglia	0384	12	EA1350	LLS1	"High Meads Jn – Temple Mills East
Jn"	0	15	0	59	N	Y	Y	N	Y	Y	H	E	N	N	
Anglia	0384	13	EA1360	CAW	"Route Boundary (LN3219)
(Cricklewood Curve Jn) – Dudding
Hill Jn"	5	72	6	04	N	N	N	N	N	N	H	N	N	N	
Anglia	0384	14	EA1360	BDH	"Route Boundary (LN3222) (Brent
Curve Jn) – Dudding Hill Jn"	0	54	1	03	N	N	N	N	N	N	H	N	N	N	
Anglia	0384	15	EA1360	CAW	Dudding Hill Jn – Neasden Jn	6	04	7	02	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	16	EA1360	NJN	"Neasden Jn – Route Boundary
(MD715) (Neasden South Jn)"	6	56	6	51	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	17	EA1360	CAW	Neasden Jn – Acton Canal Wharf Jn	7	02	8	45	N	N	N	N	N	N	N	N	N	N	
Anglia	0384	18	EA1360	ACW	"Acton Canal Wharf Jn – Route
Boundary (MD170) (Willesden Jn)"	0	35	0	11	N	N	N	N	N	N	N	N	N	N	
