Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	360	365	373	377	378	379	380	387	499	700	Notes
Anglia	0391	1	EA1160	BGK	Coppermill Jn – Tottenham South Jn	4	74	5	41	N	N	N	N	N	N	Y	N	N	N	
Anglia	0391	2	EA1160	BGK	"Tottenham South Jn – Bishops
Stortford (Cannons Mill Lane
Footpath LC (R/G-X)"	5	41	31	31	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	3	EA1161	BGK	"(Cannons Mill Lane Footpath LC
(R/G-X) Stansted Mountfitchet –
Shepreth Branch Jn"	31	31	53	06	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	4	EA1161	BGK	Shepreth Branch Jn – Ely Dock Jn	53	06	69	79	N	R1	N	N	N	R1	N	N	N	R1	R1See Sectional Appendix Local Instructions
Anglia	0391	5	EA1161	BGK	Ely Dock Jn – Ely North Jn	69	79	71	68	N	R1	N	N	N	R1	N	N	N	R1	R1See Sectional Appendix Local Instructions
Anglia	0391	6	EA1162	BGK	Ely North Jn – Kings Lynn	71	68	96	75	N	"R1
R2"	N	N	N	R1	N	N	N	R1	"R1See Sectional Appendix Local Instructions
R2Prohibited in 12 car formation"
Anglia	0391	7	EA1170	HDT	"Hackney Downs North Jn – Seven
Sisters Jn"	3	04	5	70	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	8	EA1170	HDT	Seven Sisters Jn – Bury Street Jn	5	70	9	20	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	9	EA1170	ENT	Bury Street Jn – Enfield Town	9	20	10	55	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	10	EA1180	GRE	"Reading Lane Jn – Navarino Road Jn
(Graham Rd Curve)"	2	55	2	79	N	N	N	N	E	N	N	N	N	N	
Anglia	0391	11	EA1190	HDT	Bury Street Jn – Cheshunt Jn	9	20	14	28	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	12	EA1200	CJC	Clapton Jn – Chingford	4	37	10	33	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	13	EA1210	HEB	Broxbourne Jn – Hertford East	18	35	24	19	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	14	EA1220	TLA	"Stansted South Jn – Stansted East
Jn"	33	54	34	26	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	15	EA1220	TEN	Stansted North Jn – Stansted East Jn	0	00	0	49	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	16	EA1220	TLA	Stansted East Jn –Stansted Airport	34	26	36	67	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	17	EA1230	SBR	"Route Boundary (LN125) (Royston) –
Shepreth Branch Jn"	45	60	55	26	N	R1	N	N	N	N	N	N	N	R1	R1See Sectional Appendix Local Instructions
Anglia	0391	18	EA1270	MIT	Kings Lynn Jn – Middleton towers	0	22	3	44	N	N	N	N	N	N	N	N	N	N	
Anglia	0391	19	EA1270	MIT	"Kings Lynn Jn – Kings Lynn Yard
branch end"	0	22	0	00	N	N	N	N	N	N	N	N	N	N	
Anglia	0391	20	EA1280	SDC	"Stratford Central Jn East – Temple
Mills East Jn. (Via Platforms 11 & 12
at Stratford)"	3	76	4	45	E	N	N	N	Y	Y	N	N	N	N	
Anglia	0391	21	EA1280	SDC	Temple Mills East Jn – Coppermill Jn	4	45	7	14	"E
R1"	N	N	N	N	Y	N	"E
R2"	N	N	"R1Prohibited between Orient Way Sidings and
Coppermill Jn
R2Prohibited Temple Mills West Jn - Coppermill
Jn"
Anglia	0391	22	EA1290	TSE2	"Tottenham South Jn – Change of
mileage"	5	41	5	54	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	23	EA1290	TSE1	"Change of mileage – South
Tottenham East Jn"	6	22	5	73	N	N	N	N	N	Y	N	N	N	N	
Anglia	0391	24	EA1300	SSL	"South Tottenham West Jn – Seven
Sisters Jn"	0	13	0	00	N	N	N	N	N	Y	N	N	N	N	
