Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Anglia	0399	1	EA1120	MAH	"Harwich International Port – Harwich
town"	68	72	70	61	Y	Y	N	N	N	N	N	
Anglia	0399	2	EA1130	GRW	Halifax Jn – Griffin Wharf Boundary	0	00	0	47	Y	Y	N	N	N	N	N	
Anglia	0399	3	EA1150	CST	"Channelsea South Jn – Stratford Central
Jn West"	0	29	0	00	Y	Y	Y	EH	N	Y	N	
Anglia	0399	4	EA1160	BGK	"Bethnal Green East Jn – Reading Lane
Jn"	1	10	2	55	Y	Y	Y	N	N	N	N	
Anglia	0399	5	EA1160	BGK	"Reading Lane Jn – Hackney Downs
North Jn"	2	55	3	04	Y	Y	Y	N	N	N	N	
Anglia	0399	6	EA1160	BGK	"Hackney Downs North Jn – Coppermill
Jn"	3	04	4	74	Y	Y	Y	N	N	N	N	
Anglia	0399	7	EA1160	BGK	Coppermill Jn – Tottenham South Jn	4	74	5	41	Y	Y	Y	N	N	N	N	
Anglia	0399	8	EA1160	BGK	"Tottenham South Jn – Bishops Stortford
(Cannons Mill Lane Footpath LC (R/G-X)"	5	41	31	31	Y	Y	Y	N	N	N	N	
Anglia	0399	9	EA1161	BGK	"(Cannons Mill Lane Footpath LC (R/G-X)
Stansted Mountfitchet – Shepreth Branch
Jn"	31	31	53	06	Y	Y	Y	N	N	N	N	
Anglia	0399	10	EA1161	BGK	Shepreth Branch Jn – Ely Dock Jn	53	06	69	79	Y	Y	Y	N	N	R1	R2	"R1Prohibited Cambridge bay platforms 3
and 6
R2Permitted for diversionary purposes"
Anglia	0399	11	EA1161	BGK	Ely Dock Jn – Ely North Jn	69	79	71	68	Y	Y	Y	N	N	Y	R1	R1Permitted for diversionary purposes
Anglia	0399	12	EA1162	BGK	Ely North Jn – Kings Lynn	71	68	96	75	Y	Y	Y	N	N	N	N	
Anglia	0399	13	EA1170	HDT	"Hackney Downs North Jn – Seven
Sisters Jn"	3	04	5	70	Y	Y	N	N	N	N	N	
Anglia	0399	14	EA1170	HDT	Seven Sisters Jn – Bury Street Jn	5	70	9	20	Y	Y	N	N	N	N	N	
Anglia	0399	15	EA1170	ENT	Bury Street Jn – Enfield Town	9	20	10	55	Y	Y	N	N	N	N	N	
Anglia	0399	16	EA1180	GRE	"Reading Lane Jn – Navarino Road Jn
(Graham Rd Curve)"	2	55	2	79	Y	Y	N	N	N	N	N	
Anglia	0399	17	EA1190	HDT	Bury Street Jn – Cheshunt Jn	9	20	14	28	Y	Y	N	N	N	N	N	
Anglia	0399	18	EA1200	CJC	Clapton Jn – Chingford	4	37	10	33	Y	Y	N	N	N	N	N	
Anglia	0399	19	EA1210	HEB	Broxbourne Jn – Hertford East	18	35	24	19	Y	Y	N	N	N	N	N	
Anglia	0399	20	EA1220	TLA	Stansted South Jn – Stansted East Jn	33	54	34	26	Y	Y	N	N	N	N	N	
Anglia	0399	21	EA1220	TEN	Stansted North Jn – Stansted East Jn	0	00	0	49	Y	Y	N	N	N	N	N	
Anglia	0399	22	EA1220	TLA	Stansted East Jn –Stansted Airport	34	26	36	67	Y	Y	N	N	N	N	N	
Anglia	0399	23	EA1230	SBR	"Route Boundary (LN125) (Royston) –
Shepreth Branch Jn"	45	60	55	26	Y	Y	Y	N	N	Y	Y	
