Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
Anglia	0412	1	EA1310	WMB	"Willesden High Level Jn – Route
Boundary (MD160) (Mitre Bridge Jn)"	0	43	0	09	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	2	EA1310	BOK4	"Willesden High Level Jn – Former Old
Oak Jn (change of mileage)"	0	00	0	34	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	3	EA1310	BOK4	"Former Old Oak Jn (change of mileage)
– Acton Wells Jn (Connection EA1360)"	0	34	0	66	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	4	EA1310	BOK5	"Acton Wells Jn (Connection to EA1360)
– Acton Wells Jn (Connecton to
GW130)"	0	66	0	72	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	5	EA1310	AWL	"Acton Wells Jn – Route Boundary
(GW130) (Acton East Jn)"	0	49	0	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	6	EA1310	BOK5	"Acton Wells Jn (Connecton to GW130)
– Acton Central (Limit of AC)"	0	72	1	73	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	7	EA1310	BOK5	"Acton Central (Limit of AC) – South
Acton Jn"	1	73	2	52	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	8	EA1310	SAR1	South Acton Jn – Gunnersbury Jn	2	52	3	12	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	9	EA1310	SAR2	Gunnersbury Jn – Richmond	9	72	12	39	4	R1	R1	R1	R1	R1	R1	R1	R1	"R110mph over River Thames Bridge No. 29 (10m
48ch between  Gunnersbury and Kew
Gardens)"
Anglia	0412	10	EA1320	CRC1/2	"Route Boundary (MD145) (Camden Jn)
– Camden Road West Jn"	5	42	5	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	11	EA1320	BOK1	"Camden Road West Jn – Camden
Road Central Jn"	5	10	4	64	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	12	EA1320	CRF1	"Camden Road Central Jn – Route
Boundary (LN115) (North London
Incline)"	0	51	0	20	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	13	EA1320	BOK1	"Camden Road Central Jn – Canonbury
West Jn"	4	64	3	12	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	14	EA1320	CFP	"Canonbury West Jn – Route Boundary
(LN110) (Finsbury Park)"	3	12	3	20	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	15	EA1320	BOK1	"Canonbury West Jn – Dalston Western
Jn"	3	12	2	21	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	16	EA1320	DWW1	"Dalston Western Jn - Navarino Road Jn
(Change of Mileage)"	2	21	1	52	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0412	17	EA1320	DWW2	"Navarino Road Jn (Change of Mileage)
– Lea Jn"	1	11	3	19	8	Y	Y	Y	Y	Y	Y	Y	Y	
