Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	37/7 37/9	43	47/2	47/4	47/7	56	57	58	Notes
Anglia	0426	1	EA1470	NOL	Reedham Jn – Lowestoft	12	34	23	41	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	2	EA1480	WHC1	"Whitlingham Jn – North Walsham
(End of Station Loop)"	1	69	16	30	6	Y	N	Y	R1	Y	N	Y	Y	"1Route prohibited to Class 47/4
locomotives that conform to RA7"
Anglia	0426	3	EA1480	WHC1	"North Walsham (End of Station
Loop) – Change of Mileage (Site of
Former Roughton Road Jn)"	16	30	24	00	6	N	N	Y	R1	Y	N	Y	N	"1Route prohibited to Class 47/4
locomotives that conform to RA7"
Anglia	0426	4	EA1480	WHC2	"Change of Mileage (Site of Former
Roughton Road Jn) – Change of
Mileage (Site of Former Runton East
Jn)"	11	54	13	48	6	N	N	Y	R1	Y	N	Y	N	"1Route prohibited to Class 47/4
locomotives that conform to RA7"
Anglia	0426	5	EA1480	WHC3	"Change of Mileage (Site of Former
Runton East Jn) – Cromer"	45	64	46	42	6	N	N	Y	R1	Y	N	Y	N	"1Route prohibited to Class 47/4
locomotives that conform to RA7"
Anglia	0426	6	EA1490	CRS	"Cromer Jn (Cromer 46m 42ch) –
Sheringham 46m 42ch"	46	27	42	69	6	N	N	Y	N	Y	N	Y	N	
Anglia	0426	7	EA1500	NAY	Brundall Jn – Yarmouth Via Acle	5	72	18	29	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	8	EA1500	RBY	"Breydon Access No24 LC (EA1510)
– Yarmouth"	19	13	20	45	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	9	EA1510	RBY	"Reedham Jn – Breydon Access
No24 LC"	12	34	19	13	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	10	EA1520	SIZ	Saxmundham Jn – Sizewell	91	40	95	79	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	11	EA1530	CCH	Coldham Lane Jn – Haughley Jn	0	23	40	49	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	12	EA1540	SOB1	"Chippenham Jn – Site of Former
Snailwell Jn"	0	63	0	00	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	13	EA1540	SOB2	"Site of Former Snailwell Jn  – Ely
Dock Jn"	1	54	12	33	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	14	EA1550	EWC	"Ely North Jn – Ely West Jn (Ely
West Curve)"	71	63	72	63	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	15	EA1560	EMP	Ely North Jn – Ely West Jn	71	63	72	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0426	16	EA1560	EMP	"Ely West Jn – Route Boundary
(LN135) (Peterborough)"	72	39	98	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0426	17	EA1570	WIG	March East Jn – Whitemoor Jn	85	78	86	18	8	N	N	Y	Y	Y	Y	Y	N	
Anglia	0426	18	EA1570	MWL	March West Jn – Whitemoor Jn	0	00	0	13	8	N	N	Y	Y	Y	Y	Y	N	
Anglia	0426	19	EA1570	WIG	Whitemoor Jn – Wisbech	86	18	93	60	6	N	N	N	N	N	N	N	N	Line out of use (temporarily)
Anglia	0426	20	EA1580	ETN	Ely North Jn – Trowse Jn	71	72	123	00	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0426	21	EA1744	BFC	Europa Jn – Boss Hall Jn	0	00	0	63	10	Y	N	Y	Y	Y	Y	Y	N	
