Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Anglia	0445	1	EA1360	WAW	"Acton Wells Jn (Change of Mileage) –
Route Boundary (MD167)  Willesden
West London Jn)"	6	19	6	76	8	N	N	Y	N	N	N	
Anglia	0445	2	EA1360	CAW	"Acton Wells Jn (Change of Mileage) –
Acton Wells Jn"	0	63	0	66	8	N	N	Y	N	N	N	
Anglia	0445	3	EA1370	GOJ	Gospel Oak Jn – Junction Rd Jn	0	00	0	58	8	N	N	Y	N	H	N	
Anglia	0445	4	EA1370	JRT2	"Junction Rd Jn – Route Boundary
(LN3210) (Carlton Rd Jn)"	2	42	2	38	8	N	N	Y	N	N	N	
Anglia	0445	5	EA1370	TAH1	Junction Rd Jn – Harringay Park Jn	2	42	4	15	8	N	N	Y	N	H	N	
Anglia	0445	6	EA1370	HPW	"Harringay Park Jn – Route Boundary
(LN165) (Harringay Jn)"	0	25	0	14	8	N	N	Y	N	H	N	
Anglia	0445	7	EA1370	TAH1	"Harringay Park Jn – South Tottenham
West Jn"	4	15	5	65	8	N	N	Y	N	N	N	
Anglia	0445	8	EA1370	TAH1	"South Tottenham West Jn – South
Tottenham East Jn"	5	65	5	73	8	N	N	Y	N	N	N	
Anglia	0445	9	EA1370	TAH2	"South Tottenham East Jn –
Woodgrange Park Jn"	5	73	11	79	8	N	N	Y	N	N	N	
Anglia	0445	10	EA1370	TAH3	"Woodgrange Park Jn – Barking
Station Jn"	11	79	13	12	8	Y	Y	Y	Y	N	Y	
Anglia	0445	11	EA1370	TAH3	"Barking Station Jn – Barking Tilbury
Jn West"	13	12	13	42	8	Y	Y	Y	Y	N	Y	
Anglia	0445	12	EA1370	TAH4	"Barking Station Jn – Barking Platform
1"	13	12	13	62	8	N	N	Y	N	N	N	
Anglia	0445	13	EA1380	FSS1	Fenchurch Street – Gas Factory Jn	0	00	2	57	3	N	N	N	N	N	N	
Anglia	0445	14	EA1380	FSS1	Gas Factory Jn – East Ham Depot	2	57	6	18	3	"R1
R2
R3"	"R1
R2
R3"	N	"R1
R2
R3"	N	"R1
R2
R3"	"R125mph over bridge 25 (3m 09ch) (Up and Down
Lines)
R225mph over bridge 39 (4m 01ch) (Down Line
only)
R325mph over bridge 40 (4m 02ch) (Down Line
only)"
Anglia	0445	15	EA1380	FSS1	"East Ham Depot – Barking Tilbury Jn
West"	6	18	7	33	3	Y	Y	N	Y	N	Y	
Anglia	0445	16	EA1380	FSS2	"Barking Tilbury Jn West – Barking
Tilbury Jn East"	7	33	7	60	8	Y	Y	Y	Y	N	Y	
Anglia	0445	17	EA1380	FSS2	Barking Tilbury Jn East – Upminster	7	60	15	20	8	Y	Y	Y	Y	N	N	
Anglia	0445	18	EA1380	FSS2	Upminster – Southend Central	15	20	35	55	8	Y	Y	Y	Y	N	N	
