Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	158	159	165	166 RHM	Notes
Kent-Sussex-Wessex	0826	1	SO520	PAS	"Blackfriars Jn – Portsmouth and
Southsea Low Level [Duplicated on
SW110]"	44	26	44	50	Y	Y	Y	N	N	
Kent-Sussex-Wessex	0826	2	SO520	WPH2	"Portsmouth and Southsea High Level
– Portsmouth Harbour
*platforms 4 and 5 RA7
*platforms 1 and 3 RA4
[Duplicated on SW110]"	44	50	45	36	Y	Y	Y	N	"R1
R2
R3"	"R1Prohibited Portsmouth & Southsea platform 1
Up Main Fast line with air bags deflated / failed
secondary suspension
R2Prohibited Portsmouth Harbour platforms 3 & 5
R3OPPOS between Portsmouth Harbour platform
3 & 4"
Kent-Sussex-Wessex	0826	3	SO530	SCU1	"South Croydon Jn (SO600) –
Sanderstead"	11	29	12	23	N	N	N	N	N	
Kent-Sussex-Wessex	0826	4	SO530	SCU1	Sanderstead – Hurst Green Jn	12	23	21	35	N	N	N	N	N	
Kent-Sussex-Wessex	0826	5	SO530	HGG1	"Hurst Green Jn – End of Line beyond
East Grinstead"	21	35	30	12	N	N	N	N	N	
Kent-Sussex-Wessex	0826	6	SO540	SCU1	Hurst Green Jn – Uckfield	21	35	46	08	N	N	N	N	N	
Kent-Sussex-Wessex	0826	7	SO550	RTT	Redhill (SO500) – Tonbridge	22	40	42	16	N	N	N	N	N	
Kent-Sussex-Wessex	0826	8	SO560	RSJ	Redhill – Reigate	22	40	24	27	N	N	N	Y	Y	
Kent-Sussex-Wessex	0826	9	SO560	RSJ	"Reigate – Route Boundary (SW300)
(Shalford Jn)"	24	27	33	10	N	N	N	Y	Y	
Kent-Sussex-Wessex	0826	10	SO590	KJE1	Keymer Jn – Lewes	40	69	49	74	N	N	N	N	N	
Kent-Sussex-Wessex	0826	11	SO590	KJE1/2	"Lewes – Southerham Jn [Duplicated
on SO620]"	49	74	51	11	N	N	N	N	N	
Kent-Sussex-Wessex	0826	12	SO590	KJE3	Southerham Jn – Willingdon Jn	9	14	21	39	N	N	N	N	N	
Kent-Sussex-Wessex	0826	13	SO590	KJE3	Willingdon Jn – Eastbourne	21	39	23	75	N	N	N	N	N	
Kent-Sussex-Wessex	0826	14	SO600	WJB	"Willingdon Jn – Connection - St
Leonards LMD"	21	39	32	21	N	N	N	N	N	
Kent-Sussex-Wessex	0826	15	SO600	WJB	"Connection - St Leonards LMD – Bo
Peep Jn"	32	21	32	76	N	N	N	N	N	
Kent-Sussex-Wessex	0826	16	SO600	TTH	Bo Peep Jn – Hastings	60	69	62	33	N	N	N	N	N	
Kent-Sussex-Wessex	0826	17	SO600	ATH	"Hastings – Ore Start / End of
Electrification"	82	34	81	42	N	N	N	N	N	
Kent-Sussex-Wessex	0826	18	SO600	ATH	"Ore Start / End of Electrification – Jn
with Hastings line"	81	42	56	20	N	N	N	N	N	
Kent-Sussex-Wessex	0826	19	SO620	BTL	Montpelier Jn – Lewes	0	14	7	77	N	N	N	N	N	
