Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	313	319	325	373	375	376	377	378	380	387	Notes
Kent-Sussex-Wessex	0847	1	SO130	XTD	Chislehurst Jn – Petts Wood Jns	11	33	12	27	N	R1	H	N	Y	Y	Y	N	N	Y	R1Prohibited from Slow lines
Kent-Sussex-Wessex	0847	2	SO130	XTD	"Petts Wood Jns – Sevenoaks
Substation"	12	27	21	74	N	R1	Y	N	Y	Y	Y	N	N	Y	"R1Prohibited on Slow lines between Petts
Wood Jns and Orpington"
Kent-Sussex-Wessex	0847	3	SO130	XTD	"Sevenoaks Substation – Tonbridge
West Jn"	21	74	29	35	N	"E
R1"	Y	N	Y	Y	Y	N	N	Y	R175mph maximum speed
Kent-Sussex-Wessex	0847	4	SO130	XTD	"Tonbridge West Jn – Tonbridge East
Jn"	29	35	29	55	N	"E
R1
R2"	Y	N	Y	Y	Y	E	N	Y	"R175mph maximum speed
R2Prohibited Tonbridge platform 4"
Kent-Sussex-Wessex	0847	5	SO130	XTD	Tonbridge East Jn – Paddock Wood	29	55	34	67	N	"E
R1"	Y	N	Y	Y	Y	E	N	Y	R175mph maximum speed
Kent-Sussex-Wessex	0847	6	SO130	XTD	"Paddock Wood – Ashford (Jn with
Maidstone line)"	34	67	55	54	N	"E
R1"	Y	N	Y	Y	Y	E	"EH
R2"	Y	"R175mph maximum speed
R2Prohibited between Paddock Wood and
Chart Leacon Depot"
Kent-Sussex-Wessex	0847	7	SO130	XTD	"Ashford (Jn with Maidstone line) –
Ashford Station"	55	54	56	09	N	"E
R1
R2
R3"	Y	R4	Y	Y	Y	E	EH	Y	"R175mph maximum speed
R2Prohibited Ashford platform 1 (Up platform
loop)
R325mph Ashford platform 2 (Up Slow)
R4Permitted Down / Up West Chord and
Down / Up East Chords to CTRL interface,
via Ashford platforms 3, 4, 5 & 6"
Kent-Sussex-Wessex	0847	8	SO130	XTD	"Ashford Station – Ashford (Jn with
Hastings line)"	56	09	56	20	N	"E
R1
R2
R3"	Y	R4	Y	Y	R5	E	N		"R175mph maximum speed
R2Prohibited Ashford platform 1 (Up platform
loop)
R325mph Ashford platform 2 (Up Slow)
R4Permitted Down / Up West Chord and
Down / Up East Chords to CTRL interface,
via Ashford platforms 3, 4, 5 & 6
R5Class 377/1 and 377/5 only"
Kent-Sussex-Wessex	0847	9	SO130	XTD	"Ashford (Jn with Hastings line) –
Ashford (Jn with Canterbury Line)"	56	20	56	35	N	N	N	R1	Y	Y	R2	E	N	N	"R1Permitted Down / Up West Chord and
Down / Up East Chords to CTRL interface,
via Ashford platforms 3, 4, 5 & 6
R2Class 377/1 and 377/5 only"
Kent-Sussex-Wessex	0847	10	SO130	XTD	"Ashford (Jn with Canterbury Line) –
Saltwood Jn"	56	35	66	38	N	N	N	N	Y	Y	R1	N	N	N	R1Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0847	11	SO130	XTD	Saltwood Jn – Folkestone Central	66	38	69	73	N	N	N	R1	Y	Y	R2	N	N	N	"R1Permitted Down / Up West Chord and
Down / Up East Chords to CTRL interface
R2Class 377/1 and 377/5 only"
