Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	395	442	444	450	455	456	458	465	466	508	700	Notes
Kent-Sussex-Wessex	0859	1	SO110	TLP1	"Bickley Jn – Petts Wood (Fast
Tonbridge Loop)"	12	38	13	29	Y	E	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0859	2	SO110	TLP2	"Bickley Jn – Petts Wood (Slow
Tonbridge Loop)"	12	49	13	35	Y	E	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0859	3	SO110	CSM3	"Hawkwood Jn (Up Chatham Loop) –
St Mary Cray Jn"	11	66	12	30	Y	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0859	4	SO110	VIR	Bickley Jn – St Mary Cray Down Jn	12	38	12	79	Y	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0859	5	SO110	VIR	"St Mary Cray Down Jn – St Mary Cray
Up Jn"	12	79	13	17	Y	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0859	6	SO110	VIR	St Mary Cray Up Jn – Swanley Jn	13	17	17	46	Y	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0859	7	SO110	VIR	Swanley Jn – Fawkham Jn	17	46	20	49	Y	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0859	8	SO110	VIR	Fawkham Jn – CTRL	20	49	0	00	Y	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0859	9	SO110	VIR	Fawkham Jn – Rochester Bridge Jn	20	49	33	01	Y	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0859	10	SO110	VIR	Rochester Bridge Jn – Gillingham	33	01	35	75	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	11	SO110	VIR	Gillingham – Western Jn	35	75	43	70	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	12	SO110	VIR	Western Jn – Eastern Jn	43	70	44	18	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	13	SO110	VIR	Eastern Jn – Faversham Jn	44	18	52	13	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	14	SO110	VIR	Faversham Jn – Ramsgate Station	52	13	79	21	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	15	SO110	ACR	"Ramsgate Station – Ramsgate
Substation"	85	67	85	22	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	16	SO130	XTD	Charing Cross – Metropolitan Jn	0	00	1	31	N	N	N	N	Y	Y	N	Y	Y	Y	R1	"R1Prohibited Waterloo East to
Metropolitan Jn on Borough
Market Viaduct"
Kent-Sussex-Wessex	0859	17	SO130	CBM	"Cannon Street – Cannon Street
Substation"	0	00	0	20	N	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	18	SO130	CSW	"Cannon Street Sub Station –
Metropolitan Jn (via Metropolitan
Reversible line)"	1	53	1	33	N	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	19	SO130	XTD	Metropolitan Jn – Borough Market Jn	1	31	1	50	N	N	N	N	Y	Y	N	Y	Y	Y	R1	"R1Prohibited on Borough Market
Viaduct"
Kent-Sussex-Wessex	0859	20	SO130	CBM	"Cannon Street Substation – Borough
Market Jn"	0	20	0	38	N	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	21	SO130	XTD	"Borough Market Jn – London Bridge
platforms 1-9"	1	50	1	69	N	N	N	N	Y	Y	N	Y	Y	N	"R1
R2"	"R1Prohibited on Borough Market
Viaduct
R2Prohibited London Bridge High
Level platforms"
Kent-Sussex-Wessex	0859	22	SO130	XTD	"London Bridge platforms 1-9 – North
Kent East Jn"	1	69	4	25	N	N	N	N	Y	Y	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0859	23	SO130	XTD	North Kent East Jn – Tanners Hill Jn	4	25	5	29	N	N	N	N	Y	Y	N	Y	Y	Y	R1	"R1Prohibited North Kent East Jn -
New Cross"
