Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	CH	M	Ch	395	442	444	450	455	456	458	465	466	508	700	Notes
Kent-Sussex-Wessex	0867	1	SO500	VTB3	Three Bridges – Copyhold Jn	29	21	36	73	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	2	SO500	CJA1	Copyhold Jn – Change of Mileage	36	73	36	33	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0867	3	SO500	CJA2	Change of Mileage – Ardingly Sidings	0	00	0	70	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0867	4	SO500	VTB3	Copyhold Jn – Keymer Jn	36	73	40	69	N	Y	N	N	Y	Y	N	N	N	Y	R1	"R1Prohibited Haywards Heath
Down Goods Loop"
Kent-Sussex-Wessex	0867	5	SO500	VTB3	Keymer Jn – Preston Park Jn	40	69	49	43	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	6	SO500	PPH	Preston Park Jn – Hove Jn	49	21	50	44	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	7	SO500	VTB3	Preston Park Jn – Brighton	49	43	50	49	N	Y	N	N	Y	Y	N	N	N	R1	Y	R1Prohibited Brighton platform 8
Kent-Sussex-Wessex	0867	8	SO510	LBW	"London Bridge platforms 10-15 –
Bricklayers Arms Jn"	0	00	2	12	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	9	SO510	LBW	"Bricklayers Arms Jn – New Cross
Gate Up Jn"	2	12	2	60	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	10	SO510	ELL1	"New Cross Gate Up Jn – Network Rail
Boundary / Up ELL"	5	51	5	49	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0867	11	SO510	LBW	"New Cross Gate Up Jn – New Cross
Gate Down Jn"	2	60	3	10	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	12	SO510	ELL1	"New Cross Gate Down Jn – Network
Rail Boundary / Down ELL"	6	02	5	79	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0867	13	SO510	LBW	"New Cross Gate Down Jn –
Sydenham Down Jn"	3	10	6	51	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	14	SO510	LBW	Sydenham Down Jn – Norwood Jn	6	51	8	55	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	15	SO510	LBW	Norwood Jn – Norwood Fork Jn	8	55	9	33	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	16	SO510	LBW	"Norwood Fork Jn – Cottage Jn /
Windmill Bridge Jn"	9	33	9	64	N	Y	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	17	SO510	NFE	Norwood Fork Jn – Sutton	9	33	14	75	N	N	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	18	SO510	NFE	Sutton – Epsom Downs	14	75	18	60	N	N	N	N	Y	Y	N	N	N	Y	N	
Kent-Sussex-Wessex	0867	19	SO520	TBH1	Three Bridges – Crawley	29	21	30	49	N	N	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	20	SO520	TBH1	Crawley – Horsham Jn	30	49	37	39	N	N	N	N	Y	Y	N	N	N	Y	"R1
R2"	"R1ECS only Faygate platforms 1 &
4
R2Prohibited Faygate platforms 1 &
4 with deflated suspension"
Kent-Sussex-Wessex	0867	21	SO520	TBH1	Horsham Jn – Horsham	37	39	37	56	N	N	N	N	Y	Y	N	N	N	Y	Y	
Kent-Sussex-Wessex	0867	22	SO520	TBH1	Horsham – Billingshurst	37	56	44	71	N	N	N	N	R1	R1	N	N	N	R1	Y	R120mph Billingshurst platform 1
Kent-Sussex-Wessex	0867	23	SO520	TBH1	Billingshurst – Arundel Jn	44	71	59	75	N	N	N	N	N	N	N	N	N	N	Y	
Kent-Sussex-Wessex	0867	24	SO520	TBH2	Arundel Jn – Barnham	19	01	22	29	N	N	Y	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0867	25	SO520	TBH2	"Barnham – Route Boundary (SW110)
(Havant Jn)"	22	29	35	35	N	N	Y	Y	N	N	N	N	N	N	N	
