Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Kent-Sussex-Wessex	0883	1	SO630	BLI1	"Hove Up platform loop and platforms
2, and 3 – Arundel Jn"	1	28	19	01	Y	Y	"R1
R2
R3
R4
R5
R6
R7"	N	N	N	N	"R120mph Hove platforms 1, 2 and 3
R220mph Shoreham-by-Sea Up platform
R320mph Worthing Down and Up
platform lines
R4Prohibited Worthing Loop line
R520mph West Worthing Up platform
R620mph Goring-by-Sea Down platform
R720mph Angmering Up platform"
Kent-Sussex-Wessex	0883	2	SO630	BLI1	"Arundel Jn – Littlehampton Jn
(Change of Mileage)"	19	01	19	25	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0883	3	SO630	FJL	Littlehampton Jn – Ford Jn	60	57	60	26	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0883	4	SO630	BLI2	"Littlehampton Jn (Change of Mileage)
– Littlehampton"	60	57	62	03	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0883	5	SO640	BBR	Barnham – Bognor Regis	22	29	25	75	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0883	6	SO645	ATL	Battersea Park – Factory Jn	7	27	6	67	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0883	7	SO645	ATL	Factory Jn  – Wandsworth Road Jn	6	67	6	53	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	8	SO645	ATL	"Wandsworth Road Jn – Shepherds
Lane Jn"	6	53	5	68	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	9	SO645	ATL	Shepherds Lane Jn – Crofton Road Jn	5	68	3	67	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	10	SO645	ATL	Crofton Road Jn – Peckham Rye Jn	3	67	3	47	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	11	SO650	BBJ	Balham Jn (SO500) – Leigham Jn	4	69	6	31	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	12	SO650	BBJ	Leigham Jn – West Norwood Jn	6	31	6	58	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	13	SO650	BBJ	"West Norwood Jn – Crystal Palace
platforms 1 and 2"	6	58	8	56	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	14	SO650	SCP	"Crystal Palace platforms 3 - 6 –
Sydenham Up Jn"	7	52	6	49	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	15	SO650	BBJ	"Crystal Palace platforms 1 and 2 –
Bromley Up Jn"	8	56	9	36	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	16	SO650	BJN1	Bromley Up Jn – Norwood North Jn	9	36	9	75	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	17	SO650	BBJ	Bromley Up Jn – Bromley Down Jn	9	36	9	48	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	18	SO650	BJN2	Bromley Down Jn – Norwood North Jn	9	48	9	75	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	19	SO650	BBJ	Bromley Down Jn – Beckenham Jn	9	48	11	62	Y	Y	R1	N	N	N	N	R110mph Beckenham Jn Down platform
Kent-Sussex-Wessex	0883	20	SO660	PAT	Purley (S0500)  – Caterham	15	13	19	70	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	21	SO660	TAT	Purley (S0500)  – Tattenham Corner	15	13	23	37	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	22	SO680	BTH1	"South Bermondsey Jn (SO510) – Old
Kent Road Jn"	1	49	2	32	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0883	23	SO680	BTH1	Old Kent Road Jn – Peckham Rye Jn	2	32	3	47	Y	Y	Y	N	N	N	N	
