Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
Kent-Sussex-Wessex	0896	1	SO520	WPH2	"Portsmouth and Southsea High Level
– Portsmouth Harbour
*platforms 4 and 5 RA7
*platforms 1 and 3 RA4
[Duplicated on SW110]"	44	50	45	36	7*	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	2	SO530	SCU1	"South Croydon Jn (SO600) –
Sanderstead"	11	29	12	23	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	3	SO530	SCU1	Sanderstead – Hurst Green Jn	12	23	21	35	4	R1	R1	R1	R1	R1	R1	R1	"R130mph over Oxted Viaduct (between
Oxted & Hurst Green from 20m 40ch to
20m 47ch)"
Kent-Sussex-Wessex	0896	4	SO530	HGG1	"Hurst Green Jn – End of Line beyond
East Grinstead"	21	35	30	12	6	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	5	SO540	SCU1	Hurst Green Jn – Uckfield	21	35	46	08	4	R1	R1	R1	R1	R1	R1	R1	"R130mph over Red Lane Bridge (SCU1
526) (21m 78ch)
STNC/G1/2010/ICP-RA/SO018a until 31
December 2017"
Kent-Sussex-Wessex	0896	6	SO550	RTT	Redhill (SO500) – Tonbridge	22	40	42	16	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	7	SO560	RSJ	Redhill – Reigate	22	40	24	27	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	8	SO560	RSJ	"Reigate – Route Boundary (SW300)
(Shalford Jn)"	24	27	33	10	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	9	SO590	KJE1	Keymer Jn – Lewes	40	69	49	74	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	10	SO590	KJE1/2	"Lewes – Southerham Jn [Duplicated
on SO620]"	49	74	51	11	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	11	SO590	KJE3	Southerham Jn – Willingdon Jn	9	14	21	39	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	12	SO590	KJE3	Willingdon Jn – Eastbourne	21	39	23	75	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	13	SO600	WJB	"Willingdon Jn – Connection - St
Leonards LMD"	21	39	32	21	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	14	SO600	WJB	"Connection - St Leonards LMD – Bo
Peep Jn"	32	21	32	76	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	15	SO600	TTH	Bo Peep Jn – Hastings	60	69	62	33	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	16	SO600	ATH	"Hastings – Ore Start / End of
Electrification"	82	34	81	42	7	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0896	17	SO600	ATH	"Ore Start / End of Electrification – Jn
with Hastings line"	81	42	56	20	7	R1	R1	R1	R1	R1	R1	R1	"R115mph over Military Canal Bridge
No.1800 (62m 76ch) between Ham
Street and Appledore"
