Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	150	153	156	158	159	165	Notes
Kent-Sussex-Wessex	0979	1	SW110	WPH2	"Farlington Jn – Portcreek Jn
[Duplicated on SO520]"	40	33	41	03	Y	Y	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	2	SW110	WPH2	"Portcreek Jn – Blackfriars Jn
[Duplicated on SO520]"	41	03	44	50	Y	Y	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	3	SW110	PAS	"Blackfriars Jn – Portsmouth and
Southsea Low Level [Duplicated on
SO520]"	44	26	44	50	Y	Y	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	4	SW110	WPH2	"Blackfriars Jn – Portsmouth and
Southsea High Level [Duplicated on
SO520]"	44	26	44	50	Y	Y	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	5	SW110	WPH2	"Portsmouth and Southsea High Level
– Portsmouth Harbour
*  platforms 4 and 5 RA7
*  platforms 1 and 3 RA4
[Duplicated on SO520]"	44	50	45	36	Y	Y	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	6	SW115	BAE1	"Worting Jn – Connection to
Ludgershall Branch line"	51	15	66	27	Y	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	7	SW115	LUD1	"Connection to main Up line (BAE1) –
Red Post Jn"	66	27	67	61	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0979	8	SW115	LUD2	Red Post Jn – Ludgershall	0	00	5	64	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0979	9	SW115	BAE1	"Connection to Ludgershall Branch line
– Laverstock North Jn"	66	27	82	05	Y	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	10	SW115	LAV	"Laverstock North Jn – Laverstock
South Jn"	82	05	82	39	Y	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	11	SW115	BAE1	"Laverstock North Jn – Salisbury
Tunnel Jn"	82	05	82	36	Y	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	12	SW115	BAE1	"Salisbury Tunnel Jn – Fisherton Short
Mile Change of Mileage"	82	36	83	72	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	13	SW115	BAE2	"Fisherton Short Mile Change of
Mileage – Wilton Jn"	84	00	85	37	Y	Y	"R1
R2"	Y	Y	Y	N	"R115mph Salisbury platform 3
R220mph Salisbury platform 4"
Kent-Sussex-Wessex	0979	14	SW115	BAE2	Wilton Jn – Gillingham	85	37	105	23	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	15	SW115	BAE2	Gillingham – Yeovil Jn	105	23	122	48	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	16	SW115	BAE2	"Yeovil Jn – Route Boundary (GW610)
(Exeter St Davids Jn)"	122	48	164	30	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	0979	17	SW120	PAA1	Pirbright Jn – Ash Vale Jn	29	39	32	30	Y	N	N	N	N	N	N	
