Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	170	172	180	185	220	221	222	Notes
London-North-Eastern	1003	1	LN678	DAE1	"Site of Former Parkgate Jn – Shildon
SB"	0	00	8	29	N	N	N	N	N	N	N	
London-North-Eastern	1003	2	LN678	DAE2	Shildon SB – Bishop Auckland	8	29	11	23	N	N	N	N	N	N	N	
London-North-Eastern	1003	3	LN682	NEC1	"King Edward Bridge South Jn –
Norwood Jn"	0	48	1	71	N	N	N	E	Y	Y	N	
London-North-Eastern	1003	4	LN682	NEC1	"Norwood Jn – Site of Former Blaydon
East Jn"	1	71	5	28	N	N	N	E	Y	Y	N	
London-North-Eastern	1003	5	LN682	NEC2	"Site of Former Blaydon East Jn –
Route Boundary (NW9909) (Petteril
Bridge Jn)"	3	78	58	00	N	N	N	E	Y	Y	N	
London-North-Eastern	1003	6	LN684	NLF	Low Fell Jn – Limit of Electrification	0	00	1	26	N	N	N	N	N	N	N	
London-North-Eastern	1003	7	LN684	NLF	Limit of Electrification – Norwood Jn	1	26	1	42	N	N	N	N	N	N	N	
London-North-Eastern	1003	8	LN694	BNE	"Benton North Jn – Site of Former
Earsdon Jn"	0	00	2	53	N	N	N	N	Y	Y	N	
London-North-Eastern	1003	9	LN694	EJM	"Site of Former Earsdon Jn – Morpeth
North Jn"	7	08	20	47	N	N	N	N	Y	Y	N	
London-North-Eastern	1003	10	LN696	HJM	Hepscott Jn –  Morpeth Jn	19	44	20	47	N	N	N	N	Y	Y	N	
London-North-Eastern	1003	11	LN700	BWO2	Butterwell Jn – Signal B1	0	00	0	48	N	N	N	N	N	N	N	
London-North-Eastern	1003	12	LN702	BWC	"Bedlington North –  Network Rail
Boundary (Lynemouth Colliery)"	0	00	4	14	N	N	N	N	N	N	N	
London-North-Eastern	1003	13	LN704	ISC	"Newsham North Jn – Network Rail
Boundary (Blyth Bates Terminal)"	0	00	0	36	N	N	N	N	N	N	N	"Line out of use
NME/2010/LNE/006 and NME/2010/LNE009"
London-North-Eastern	1003	14	LN706	WSB	West Sleekburn Jn – North Blyth	0	00	3	22	N	N	N	N	N	N	N	
London-North-Eastern	1003	15	LN708	MWJ	Winning Jn – Marchey's House Jn	0	31	0	00	N	N	N	N	N	N	N	
London-North-Eastern	1003	16	LN724	HOS	"Holgate Jn –  Skelton Jn via York Yard
South"	0	00	1	54	N	N	Y	Y	Y	Y	Y	
London-North-Eastern	1003	17	LN736	MAC3	Cleethorpes – Grimsby Docks	112	40	110	11	Y	N	N	Y	N	N	N	
London-North-Eastern	1003	18	LN736	MAC3	Grimsby Docks – Marsh West Jn	110	11	107	69	Y	N	N	Y	N	N	N	
London-North-Eastern	1003	19	LN736	MAC3	Marsh West Jn – Wrawby Jn	107	69	94	12	Y	N	N	Y	N	N	N	
London-North-Eastern	1003	20	LN736	MAC3	Wrawby Jn – West Burton East Jn	94	12	72	18	N	N	N	R1	N	N	N	R115mph Gainsborough Central Up platform 1
London-North-Eastern	1003	21	LN736	MAC3	"West Burton East Jn –  Thrumpton
West Jn (Up)"	72	18	63	28	N	N	N	Y	N	N	N	
London-North-Eastern	1003	22	LN736	MAC3	"Thrumpton West Jn (Up) – Manton
Wood"	63	28	58	54	N	N	N	Y	N	N	N	
