Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	313	314	315	317	318	319	321	322	325	333	Notes
London-North-Eastern	1029	1	LN802	WKC	"Welbeck Colliery Jn – Network Rail
Boundary (RJB)"	0	00	2	63	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1029	2	LN804	TJC1	"Route Boundary (LN3201) (Tapton Jn)
– Dore South Jn"	146	64	153	71	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	3	LN804	TJC1	Dore South Jn – Sheffield Station	153	71	158	40	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	4	LN804	TJC1	"Sheffield Station – Nunnery Main Line
Jn"	158	40	158	77	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	5	LN804	TJC1	"Nunnery Main Line Jn – Site of former
Grimesthorpe Jn"	158	77	160	47	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	6	LN804	TJC2	"Site of former Grimesthorpe Jn – Site
of Masborough South Jn"	160	47	163	74	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	7	LN804	TJC3	"Site of former Masborough South Jn –
Swinton Jn South"	161	77	166	56	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	8	LN804	SMJ1	Swinton Jn South – Swinton Jn North	166	56	167	03	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	9	LN804	SMJ1	"Swinton Jn North – Site of former Wath
Curve Jn"	167	03	168	64	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	10	LN804	SMJ2	"Site of former Wath Curve Jn –
Ferrybridge South Jn"	17	15	2	38	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	11	LN804	SMJ2	"Ferrybridge South Jn – Site of former
Burton Salmon Jn"	2	38	0	00	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	12	LN804	SMJ3	"Site of former Burton Salmon Jn –
Milford Jn"	16	69	15	07	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	13	LN804	MGW	ilford Jn – Gascoigne Wood SB	7	65	6	27	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	14	LN806	CHR	"Route Boundary (LN3201) (Tapton Jn)
– Masborough Jn"	146	64	162	24	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	15	LN807	MAS	Dore South Jn – Dore West Jn	153	73	154	16	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	16	LN808	DWS	Dore Station Jn – Dore West Jn	0	60	0	00	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	17	LN808	MAS	"Dore West Jn – Route Boundary
(NW9001) (Chinley North Jn)"	154	16	154	20	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	18	LN809	BTJ	"Shepcote Lane West Jn –  Tinsley
Yard East End"	161	24	160	52	N	N	N	N	N	N	N	N	H	N	
London-North-Eastern	1029	19	LN810	SEL	"Shepcote Lane West Jn – Tinsley
South Jn"	161	24	161	63	N	N	N	N	N	N	N	N	H	N	
