Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	357	357 OD	365	377	378	379	380	387	508	599	700	Notes
London-North-Eastern	1044	1	LN784	HIM	arsop Jn – Shirebrook South Jn	10	59	10	19	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	2	LN784	HIM	"hirebrook South Jn – Shirebrook East
n"	10	19	9	72	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	3	LN786	BEC	"Boughton Jn – Network Rail Boundary
Bevercotes Colliery)"	0	00	4	22	N	N	N	N	N	N	N	N	N	N	N	"Line out of use from 01m 0ch to Network Rail
Boundary (Bevercotes Colliery)
LN213/PJ1037"
London-North-Eastern	1044	4	LN788	TYC	"horesby Colliery Jn – Thoresby
olliery"	0	00	0	42	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	5	LN802	WKC	"Welbeck Colliery Jn – Network Rail
oundary (RJB)"	0	00	2	63	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	6	LN804	TJC1	"oute Boundary (LN3201) (Tapton Jn)
Dore South Jn"	146	64	153	71	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	7	LN804	TJC1	Dore South Jn – Sheffield Station	153	71	158	40	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	8	LN804	TJC1	"Sheffield Station – Nunnery Main Line
n"	158	40	158	77	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	9	LN804	TJC1	"unnery Main Line Jn – Site of former
rimesthorpe Jn"	158	77	160	47	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	10	LN804	TJC2	"Site of former Grimesthorpe Jn – Site
f Masborough South Jn"	160	47	163	74	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	11	LN804	TJC3	"Site of former Masborough South Jn –
winton Jn South"	161	77	166	56	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	12	LN804	SMJ1	Swinton Jn South – Swinton Jn North	166	56	167	03	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	13	LN804	SMJ1	"Swinton Jn North – Site of former Wath
urve Jn"	167	03	168	64	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1044	14	LN804	SMJ2	"Site of former Wath Curve Jn –
errybridge South Jn"	17	15	2	38	N	N	N	N	N	N	N	N	N	N	N	
