Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	357	357 MOD	365	377	378	379	380	387	508	599	700	Notes
London-North-Eastern	1048	1	LN868	SHB	"Wincobank Jn – Site of former Quarry
Jn"	161	52	173	48	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	2	LN868	PED2	"Site of former Quarry Jn – Barnsley
Station Jn"	7	50	6	43	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	3	LN868	BAH2	"Barnsley Station Jn – Site of former
Crigglestone Jn"	52	58	45	56	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	4	LN868	CHS	"Site of former Crigglestone Jn –
Horbury Jn"	1	53	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	5	LN870	CTL	"Wakefield Turners Lane – Calder
Bridge Jn"	0	50	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	6	LN872	TJC3	Altofts Jn – Hunslet South Jn	185	73	193	40	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	7	LN872	TJC3	Hunslet South Jn – Engine Shed Jn	193	40	195	20	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	8	LN872	ELN	Engine Shed Jn – Leeds West Jn	195	20	195	53	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	9	LN874	MEW2	Methley Jn – Whitwood Jn	1	12	0	01	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	10	LN875	CPM2	Castleford West Jn – Cutsyke Jn	0	00	0	61	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	11	LN875	CPM1	Cutsyke Jn – Pontefract West Jn	59	02	56	42	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	12	LN876	BOO	astleford East Jn – Ledston	6	17	4	43	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	13	LN878	SHG	Sherburn Jn – Gascoigne Wood Jn	13	20	14	30	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	14	LN880	YMS	"York (platforms 4 & 5) – Scarborough
(platforms 1 to 5)"	0	00	42	06	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	15	LN880	YMS	"York (platform 2 and maintenance
sidings) – Connection to Up line"	0	0	0	15	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	16	LN882	WAG1	"Wakefield Kirkgate West Jn – Calder
Bridge Jn"	47	43	48	28	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	17	LN882	WAG1	Calder Bridge Jn – Crofton West Jn	48	28	49	40	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	18	LN882	WAG1	Crofton West Jn – Knottingley West Jn	49	40	58	20	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	19	LN882	WAG1	Knottingley West Jn – Engine Shed Jn	58	20	73	52	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	20	LN882	WAG2	"Engine Shed Jn – Goole Potters
Grange Jn"	0	64	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	21	LN884	OAJ	"Oakenshaw South Jn – Oakenshaw
Jn."	49	41	48	76	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	22	LN886	TJC3	Monk Bretton – Oakenshaw South Jn	176	22	181	75	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	23	LN886	OSC	"Oakenshaw South Jn – Crofton East
Jn"	181	75	183	04	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	24	LN888	CJS	Stainforth Jn – Thorpe Marsh Jn	166	70	163	76	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	25	LN888	HTM	horpe Marsh Jn – Haywood Jn	69	56	67	66	N	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1048	26	LN888	KWS	Haywood Jn – Knottingley West Jn	67	66	58	20	N	N	N	N	N	N	N	N	N	N	N	
