Route	page	seq	ine of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	25	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
London-North-Eastern	1076	1	LN101	ECM1	ings Cross – Copenhagen Jn	0	00	0	64	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	2	LN101	ECM1	"Copenhagen Jn – Holloway South /
North Jns"	0	64	1	44	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	3	LN101	ECM1	"Holloway South / North Jns –  Wood
Green North Jn"	1	44	5	07	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	4	LN101	ECM1	ood Green North Jn –  Langley Jn	5	07	25	73	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	5	LN101	ECM1	Langley Jn – St Neots	25	73	51	58	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	6	LN101	ECM1	St Neots – Fletton Jn	51	58	75	02	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	7	LN101	ECM1	Fletton Jn – Peterborough	75	02	76	29	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	8	LN101	ECM1	eterborough – Newark North Gate	76	29	120	08	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	9	LN101	PMJ	"Peterborough – Helpston Jn via
Stamford lines"	22	19	16	71	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	10	LN101	ECM1	ewark North Gate – Retford	120	08	138	49	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	11	LN101	ECM1	Retford – Loversall Carr Jn	138	49	150	00	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	12	LN101	ECM1	oversall Carr Jn – Marshgate Jn	152	00	156	26	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	13	LN101	ECM1	Marshgate Jn – Shaftholme Jn	156	26	160	16	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	14	LN105	MEB1	Moorgate – Drayton Park	0	00	2	56	9	N	N	N	N	N	N	N	N	
London-North-Eastern	1076	15	LN105	MEB1	Drayton Park – Finsbury Park Jn	2	56	3	37	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	16	LN110	CFP	"Route Boundary (EA1320) (Canonbury
West Jn) - Finsbury Park Jn"	3	20	4	33	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	17	LN115	CRF1	"openhagen Jn – Route Boundary
(EA1320) (North London Incline)"	0	00	0	20	10	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	18	LN120	HDB	"Wood Green Jn – Langley Jn via
Hertford"	5	07	28	15	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	19	LN125	SBR	"Cambridge Jn – Route Boundary
(EA1230)"	32	11	45	60	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1076	20	LN126	DCF	itchin North Jn – Hitchin East Jn	32	53	34	05	8	N	N	Y	N	Y	Y	Y	Y	
