Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	RA	37/5	37/7 37/9	43	47/2	47/4	47/7	56	57	58	59	Notes
London-North-Eastern	1094	1	LN135	EMP	"Route Boundary (EA1560) (Ely West
n) – Crescent Jn"	98	40	100	66	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	2	LN147	PMJ	"elpston Jn – Route Boundary
LN3615)"	16	71	13	60	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	3	LN150	SPD5	Flyover East – Decoy North Jn	116	20	117	46	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	4	LN155	LCJ	"lyover East Jn – Loversall Jn (Up
oversall Curve)"	152	79	152	36	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	5	LN160	LCR	"oversall Carr Jn – Rossington Colliery
n"	152	00	152	12	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	6	LN160	FWR1	"ossington Colliery Jn – Flyover West
n"	152	12	153	19	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	7	LN165	HPW	"Route Boundary (EA1370) (Harringay
ark Jn) – Harringay Jn"	0	14	0	03	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	8	LN170	WEB	"Werrington Jn – Site of Former
palding South Jn"	79	34	92	58	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	9	LN170	SPD1	"Site of Former Spalding South Jn –
leaford South Jn"	44	07	62	14	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	10	LN170	SPD2	leaford South Jn – Sleaford North Jn	62	14	63	48	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	11	LN170	SPD2	"Sleaford North Jn – Site of Former
reetwell West Jn"	63	48	81	25	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	12	LN170	SPD3	"Site of Former Greetwell West Jn –
rent East Jn"	81	25	98	56	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	13	LN170	MAC3	rent East Jn – Trent West Jn	73	25	73	11	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	14	LN170	SPD4	rent West Jn – Bessacarr Jn	98	68	115	72	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	15	LN170	SPD5	"essacarr Jn –  Doncaster, Flyover
ast Jn"	115	72	116	20	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	16	LN175	SSE	Sleaford South Jn –  Sleaford East Jn	0	00	0	43	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	17	LN180	SNW	leaford West Jn –  Sleaford North Jn	1	34	3	42	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	18	LN185	ABE1	"Allington West Jn –  Site of Former
arkston East Jn"	0	00	4	08	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	19	LN185	GRS1	"arkston East Jn – Site of Former
onington Jn"	110	12	112	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1094	20	LN185	GRS2	"ite of Former Honington Jn – Sleaford
est Jn"	112	00	120	29	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
