Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	RA	37/5	37/7 37/9	43	47/2	47/4	47/7	56	57	58	59	Notes
London-North-Eastern	1095	1	LN185	GRS2	leaford West Jn – Sleaford East Jn	120	29	121	21	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	2	LN185	GRS2	"leaford East Jn – Site of Former Boston
leaford Line Jn"	121	21	137	06	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	3	LN185	GRS3	"ite of Former Boston Sleaford Line Jn –
oston"	106	70	107	24	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	4	LN185	GRS3	oston – Site of Former Firsby East Jn	107	24	122	22	7	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	5	LN185	GRS4	ite of Former Firsby East Jn - Skegness	0	28	9	17	7	R1	R1	"R1
R2"	R1	R1	R1	R1	R1	R1	R1	"1Prohibited Skegness platform 7
2Prohibited Skegness platforms 3
and 6"
London-North-Eastern	1095	6	LN190	ACD	"Allington East Jn – Allington North Jn
Allington Chord)"	0	00	0	25	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	7	LN195	NOG1	"ottingham Branch Jn – Route Boundary
LN3635) (Rectory Jn SB)"	106	08	111	60	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	8	LN200	NOB3	rawby Jn – Pelham Street Jn	12	55	41	26	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	9	LN206	NOB1	"oute Boundary (LN3625) (Nottingham East
n) – Coulson Change of  ELR"	16	02	32	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	10	LN206	NOB2	oulson Change of  ELR – Boultham Jn	32	00	32	40	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	11	LN206	NOB2	oultham Jn – West Holmes Jn	32	40	32	70	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	12	LN210	NSE	"ewark Crossing South Jn – Newark
rossing East Jn"	0	00	0	21	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	13	LN215	BHP	Boultham Jn – Pyewipe Jn	0	00	0	65	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	14	LN220	BCB	essacarr Jn – Black Carr Jn	115	72	116	44	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	15	LN235	FWR1	ossington Colliery Jn – End of Line	152	12	151	69	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	16	LN235	FWR2	ossington Colliery – End of Line	153	31	151	69	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	17	LN600	ECM2	haftholme Jn – Temple Hirst Jn	160	16	169	16	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	18	LN600	ECM3	emple Hirst Jn – Colton Jn	169	16	182	79	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	19	LN600	ECM4	olton Jn – Colton North Jn	182	79	183	65	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	20	LN600	ECM4	olton North Jn – York Station	183	65	188	40	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	21	LN600	ECM5	"ork Station – Birtley Jn
York platform 2 RA3, platform 4
A8 and platform 5 RA8"	0	00	75	26	9 *	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1095	22	LN600	ECM5	"irtley Jn – Low Fell Jn (including via Tyne
ard)"	75	26	77	37	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
