Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	97/3	Notes
London-North-Eastern	1112	1	LN600	ECM5	Low Fell Jn – King Edward Bridge South Jn	77	37	79	42	9	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	2	LN600	ECM5	"King Edward Bridge South Jn – Newcastle
West Jn"	79	42	80	05	9	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	3	LN600	ECM6	ewcastle West Jn – Newcastle	80	05	80	16	9	R1	R1	R1	R3	R2	Y	R1	"R1Prohibited Newcastle platforms 9, 10
11 and 12
R2Prohibited Newcastle Platform 10
R3Prohibited Newcastle platforms 9, 10
and 12"
London-North-Eastern	1112	4	LN600	ECM7	Newcastle – Newcastle East Jn	0	00	0	14	9	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	5	LN600	ECM7	Newcastle East Jn – Heaton South Jn	0	14	1	65	9	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	6	LN600	ECM7	"eaton South Jn – Route Boundary (SC147)
(Prestonpans Jn)"	1	65	69	67	9	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	7	LN618	HOS	"Holgate Jn –  Skelton Jn via York Yard
South"	0	00	1	54	9	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	8	LN620	KEB	"King Edward Bridge East Jn – King Edward
Bridge North Jn (East Curve)"	0	00	0	13	9	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	9	LN622	NEN1	Newcastle Forth Jn – Forth Banks	0	11	0	73	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	10	LN624	REB4	"Northallerton Castle Hills Jn – Network Rail
Boundary (Wensleydale Railway)"	0	04	0	18	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	11	LN626	LEN2	"Northallerton High Jn –  Northallerton East
Jn"	0	00	0	36	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	12	LN627	LLP1	"Longlands Jn (Down Line) – Boroughbridge
Road LC"	28	58	29	72	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	13	LN627	LLP3	"Longlands Jn (Up Line) – Boroughbridge
Road LC"	0	69	0	00	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	14	LN627	LLP2	"Boroughbridge Road LC – Northallerton
East Jn"	42	21	42	79	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	15	LN627	LEN3	Northallerton East Jn – Billingham Jn	42	79	63	69	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	16	LN627	LEN3	Billingham Jn – Ryhope Grange Jn	63	69	87	63	8	R1	R1	R1	Y	Y	R1	R1	"R1Prohibited Hartlepool Down Bay
platform 3"
London-North-Eastern	1112	17	LN627	LEN3	Ryhope Grange Jn – Sunderland South Jn	87	63	89	56	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	18	LN627	LEN3	Sunderland South Jn – Boldon East Jn	89	56	94	63	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	19	LN627	LEN3	Boldon East Jn – Boldon West Jn	94	63	95	16	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1112	20	LN627	LEN3	Boldon West Jn – Pelaw Metro Jn	95	16	97	64	8	Y	Y	Y	Y	Y	Y	Y	
