Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Eastern	1130	1	LN652	POC2	"Phillips Siding Jn – Seal Sands Branch
Jn"	3	25	5	01	8	N	N	Y	N	N	N	
London-North-Eastern	1130	2	LN652	SES	"Seal Sands Branch Jn – End of NR
maintenance"	0	00	2	44	8	N	N	Y	N	N	N	
London-North-Eastern	1130	3	LN656	SOT	Seaton Snook Jn – Seaton-on-Tees	0	00	1	51	8	N	N	Y	N	N	N	
London-North-Eastern	1130	4	LN662	HNB	Ryhope Grange – Hendon	0	00	1	53	8	N	N	Y	N	N	N	
London-North-Eastern	1130	5	LN664	BNW	Boldon East Jn – Boldon North Jn	0	00	0	20	8	N	N	Y	N	N	N	
London-North-Eastern	1130	6	LN666	BGE	Boldon West Jn – Boldon North Jn	0	00	0	32	8	N	N	Y	N	N	N	
London-North-Eastern	1130	7	LN666	GLT	Boldon North Jn – Tyne Dock	0	32	1	26	8	N	N	Y	N	N	N	
London-North-Eastern	1130	8	LN670	JAW1	"Pelaw Jn – Network Rail Boundary
(Shell Mex Depot Jarrow)"	0	09	3	36	8	N	N	Y	N	N	N	
London-North-Eastern	1130	9	LN672	FEP	Wardley – Pelaw Jn	19	70	20	75	8	N	N	Y	N	N	N	
London-North-Eastern	1130	10	LN674	HLK	"High Level Bridge Jn – Greensfield Jn
(West Curve)"	0	00	0	21	8	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1130	11	LN676	PLG1	"Park Lane Jn – Site of Former High
Street Jn"	100	65	101	15	8	H	H	Y	H	H	N	
London-North-Eastern	1130	12	LN676	PLG2	"Site of Former High Street Jn –
Greensfield Jn"	0	00	0	21	8	H	H	Y	H	H	N	
London-North-Eastern	1130	13	LN676	HLK	"Greensfield Jn – King Edward Bridge
South Jn"	0	16	0	48	8	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1130	14	LN678	DAE1	"Darlington North Jn – Site of Former
Parkgate Jn"	44	36	44	64	8	N	N	Y	N	N	N	
London-North-Eastern	1130	15	LN678	DAE1	"Site of Former Parkgate Jn – Shildon
SB"	0	00	8	29	8	N	N	Y	N	N	N	
London-North-Eastern	1130	16	LN678	DAE2	Shildon SB – Bishop Auckland	8	29	11	23	8	N	N	Y	N	N	N	
London-North-Eastern	1130	17	LN682	NEC1	"King Edward Bridge South Jn –
Norwood Jn"	0	48	1	71	8	H	H	Y	H	H	H	
London-North-Eastern	1130	18	LN682	NEC1	"Norwood Jn – Site of Former Blaydon
East Jn"	1	71	5	28	8	H	H	Y	H	"H
R1"	H	"R1Prohibited Dunston Down platform with
deflated suspension"
London-North-Eastern	1130	19	LN682	NEC2	"Site of Former Blaydon East Jn –
Route Boundary (NW9909) (Petteril
Bridge Jn)"	3	78	58	00	8	"H
R2"	"H
R2"	Y	"H
R2"	"H
R1
R2"	"H
R2"	"R130mph Wylam Down platform
R215mph through Whitchester Tunnel"
London-North-Eastern	1130	20	LN684	NLF	Low Fell Jn – Limit of Electrification	0	00	1	26	8	Y	Y	R1	Y	Y	Y	R1Prohibited Royal Mail Terminal platform
London-North-Eastern	1130	21	LN684	NLF	Limit of Electrification – Norwood Jn	1	26	1	42	8	N	N	Y	N	N	N	
