Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	58	59	60	66	67	70	73	97/3	Notes
London-North-Eastern	1150	1	LN3210	JRT1	"Change of ELR (Between Tottenham North Curve
No 2 and No 1 Tunnels) – Carlton Road Jn
(Tottenham Lines)"	0	18	0	03	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	2	LN3213	MCL	"Route Boundary (SO280) (former Farringdon Jn) –
Kentish Town Jn"	0	66	3	58	5	N	N	N	N	N	N	"R1
R2
R3
R4"	N	"R115mph
R2OHLE must be switched off and
Block To Electric Traction (BTET)
imposed no requirement for
earthing
R3Locomotives must not stand under
insulators positioned directly
above the track as the exhaust
can damage the Overhead Line
Equipment
R4Prohibited in DC mode"
London-North-Eastern	1150	3	LN3214	CBI	Canal Tunnel Jn – Belle Isle Jn	0	00	0	53	3	N	N	N	N	N	N	N	N	
London-North-Eastern	1150	4	LN3219	CAW	"Cricklewood Curve Jn – Route Boundary (LOR
EA1360) (Dudding Hill)"	5	19	5	72	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	5	LN3222	BDH	"Brent Curve Jn – Route Boundary  (EA1360)
(Dudding Hill)"	0	00	0	54	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	6	LN3228	TCC	Trent East Jn – Trent East ELR Change	119	70	119	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	7	LN3228	TES	Trent East ELR Change – Sheet Stores Jn	0	00	0	30	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	8	LN3231	WGP	Wigston South Jn – Glen Parva Jn	95	37	96	07	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	9	LN3232	WNS	"Wigston North Jn – Route Boundary (MD232)
(Nuneaton South Jn)"	15	31	2	62	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	10	LN3234	SEN	Syston East Jn – Syston North Jn	0	17	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	11	LN3237	RUD	"Loughborough South Jn – Network Rail/GCR (N)
Boundary"	92	45	92	49	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	12	LN3240	LED	Little Eaton Jn – Denby	131	06	135	46	8	N	N	N	N	N	N	N	N	"Line out of use
NC/G1/2010/LNE/021"
London-North-Eastern	1150	13	LN3246	AJM1	Ambergate Jn – Matlock	137	61	145	00	8	Y	Y	Y	Y	N	R1	Y	Y	"R1Prohibited between Ambergate
and Whatstandwell"
London-North-Eastern	1150	14	LN3249	LSN	Lenton South Jn – Lenton North Jn	0	00	0	27	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	15	LN3252	MJT1	Mansfield Jn – Radford Jn	124	22	125	55	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	16	LN3252	MJT2	Radford Jn – Trowell South Jn	125	55	130	51	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	17	LN3255	RAC	Radford Jn – Newstead	125	55	134	20	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	18	LN3255	RAC	Newstead – Kirkby Lane End Jn	134	20	136	66	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	19	LN3261	THL	Trent South Jn – Toton South Jn (High Level Lines)	119	17	121	36	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	20	LN3264	AML	"Attenborough Jn – Meadow Lane Jn (Attenborough
Curve)"	0	62	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1150	21	LN3273	TCC	Codnor Park Jn – Ironville Jn	132	76	133	18	8	Y	Y	Y	Y	Y	Y	Y	Y	
