Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Eastern	1152	1	LN3140	BBM	"Route Boundary (MD140) (Bedford St.
ohns) – Bedford Station Jn"	16	07	16	50	8	N	N	Y	N	N	N	
London-North-Eastern	1152	2	LN3140	SPC1	"edford Station Jn – Bedford Station  (Via
p and Down Bletchley line)"	49	60	49	65	8	N	N	Y	N	N	N	
London-North-Eastern	1152	3	LN3201	SPC1	"t Pancras platforms 1, 2, 3 and 4 -
ricklewood"	0	12	5	09	8	Y	Y	Y	Y	N	N	
London-North-Eastern	1152	4	LN3201	SPC1	ricklewood – Change of ELR (Bedford)	5	09	50	00	8	Y	Y	Y	Y	N	N	
London-North-Eastern	1152	5	LN3201	SPC2	"hange of ELR (Bedford) – Change of
LR (Wellingborough)"	50	00	64	78	8	H	H	Y	H	N	N	
London-North-Eastern	1152	6	LN3201	SPC3	"hange of ELR (Wellingborough) –
hange of ELR (Wigston South Jn)"	64	78	95	38	8	H	H	Y	H	N	N	
London-North-Eastern	1152	7	LN3201	SPC4	"hange of ELR (Wigston South Jn) –
hange of ELR (Leicester)"	95	38	98	73	8	H	H	Y	H	N	N	
London-North-Eastern	1152	8	LN3201	SPC5	hange of ELR (Leicester) – Leicester	98	73	99	07	8	H	H	Y	H	N	N	
London-North-Eastern	1152	9	LN3201	SPC5	eicester – Ratcliffe Jn	99	07	118	34	8	H	H	Y	H	N	N	
London-North-Eastern	1152	10	LN3201	SPC5	Ratcliffe Jn – Change of ELR (Ratcliffe)	118	34	118	60	8	H	H	Y	H	N	N	
London-North-Eastern	1152	11	LN3201	SPC6	"hange of ELR (Ratcliffe) – Change of
LR (Spondon)"	118	60	126	27	8	H	H	Y	H	N	N	
London-North-Eastern	1152	12	LN3201	SPC7	"hange of ELR (Spondon) – London
oad Jn"	126	27	128	23	8	H	H	Y	H	N	N	
London-North-Eastern	1152	13	LN3201	SPC8	ondon Road Jn – Derby Jn	127	54	128	08	8	H	H	Y	H	N	N	
London-North-Eastern	1152	14	LN3201	SPC8	erby Jn – Former Clay Cross South Jn	128	08	147	69	8	H	H	Y	H	N	N	
London-North-Eastern	1152	15	LN3201	SPC9	"Former Clay Cross South Jn – Route
oundary (LN804 / LN806) (Tapton Jn)"	142	10	146	64	8	H	H	Y	H	N	N	
London-North-Eastern	1152	16	LN3204	TSN1	rent South Jn – Mansfield Jn	119	17	125	64	8	N	N	Y	N	"H
R1
R2
R3"	N	"R1Prohibited between Trent South Jn
and Attenborough Jn
R215mph on the up line over bridge 23
Nottingham Canal (123m24ch)
R3Prohibited Nottingham Platform 1"
