Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Eastern	1192	1	LN898	HUL2	"Selby South Jn – Site of Former
Barlby Jn"	31	12	30	40	8	Y	
London-North-Eastern	1192	2	LN898	HUL1	"Site of Former Barlby Jn – Anlaby
Road Jn"	30	40	0	73	8	Y	
London-North-Eastern	1192	3	LN898	HUL1	Anlaby Road Jn – Hull	0	73	0	00	8	"R1
R2
R3
R4
R5"	"R1Prohibited between Anlaby Road Jn and West Parade Jn and on the
Up Main line
R2Prohibited Hull platform 2
R3Prohibited Hull platform 4
R4Prohibited Hull platform 5
R5Prohibited Hull Dock platform A"
London-North-Eastern	1192	4	LN900	HUE	Neville Hill West Jn – Hunslet East	0	00	0	55	10	Y	
London-North-Eastern	1192	5	LN902	CFM	"Micklefield Jn – Church Fenton North
Jn"	15	62	10	31	9	Y	
London-North-Eastern	1192	6	LN904	HSC	"Hambleton South Jn – Hambleton
West Jn"	174	10	175	33	10	Y	
London-North-Eastern	1192	7	LN906	HNC	"Hambleton East Jn –  Hambleton
North Jn"	3	34	4	00	10	Y	
London-North-Eastern	1192	8	LN908	SEC	Selby West Jn – Canal Jn	0	00	0	32	9	Y	
London-North-Eastern	1192	9	LN910	TCW1	Temple Hirst Jn – Selby Canal Jn	169	16	173	59	9	Y	
London-North-Eastern	1192	10	LN910	TCW1	Selby Canal Jn – Selby South Jn	173	59	174	11	9	Y	
London-North-Eastern	1192	11	LN912	TJG1	"Thorne Jn – Thorne North Change of
ELR"	7	69	9	09	8	Y	
London-North-Eastern	1192	12	LN912	TJG2	"Thorne North Change of ELR  –
Gilberdyke Jn"	14	06	0	00	8	Y	
London-North-Eastern	1192	13	LN914	HBS	"West Parade Jn – West Parade North
Jn"	0	25	0	72	8	R1	R1Prohibited on the Down line
London-North-Eastern	1192	14	LN914	HBS	"West Parade North Jn – Walton Street
Jn"	0	72	1	29	7	Y	
London-North-Eastern	1192	15	LN914	HBS	Walton Street Jn – Seamer West Jn	1	29	50	43	6	"R1
R2"	"R1Prohibited from Bridlington platform 4 (Down line)
R2Prohibited from Bridlington bay platform 7"
London-North-Eastern	1192	16	LN916	HJS	Hessle Road – Springbank North Jn	0	00	1	38	8	Y	
London-North-Eastern	1192	17	LN916	HJS	"Springbank North Jn – Network Rail
Boundary"	1	38	5	62	7	Y	
London-North-Eastern	1192	18	LN918	SPW	"Springbank North Jn – Walton Street
Jn"	1	54	1	29	8	Y	
