Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0820	1	NW4001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	2	NW4001	CGJ6	Preston Fylde Jn – Lancaster	0	33	20	78	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	3	NW4001	CGJ7	Lancaster – Carnforth North Jn	0	00	6	08	Y	Y	Y	Y	Y	Y	Y	Y	R1	N	"R1Prohibited Lancaster Down Bay
platforms 1 and 2"
London-North-Western-North	0820	4	NW4001	CGJ7	Carnforth North Jn – Oxenholme	6	08	19	11	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	5	NW4001	CGJ7	Oxenholme – Upperby Jn	19	11	68	23	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	6	NW4001	CGJ7	Upperby Jn – Carlisle	68	23	69	09	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	7	NW4001	WCM1	"Carlisle – Mossband Jn (Including
Kingmoor Yard Goods lines)"	0	00	7	57	Y	"R1
R2"	"R1
R2"	"R1
R2"	Y	Y	Y	Y	"R1
R2"	N	"R1Prohibited Down Goods line between
Caldew Jn and Kingmoor Yard
R2Prohibited Up Goods  line between
Caldew Jn and Mossband Jn"
London-North-Western-North	0820	8	NW4001	WCM1	Mossband Jn – Gretna Jn	7	57	8	57	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	9	NW4001	WCM1	"Gretna Jn – Route Boundary (SC001)
(Gretna Green)"	8	57	12	30	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	10	NW4001	UCJ	Upperby Bridge Jn – Upperby Bridge	67	58	68	23	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0820	11	NW4003	PDB	Preston Fylde Jn – End of line	0	00	1	59	N	N	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0820	12	NW4005	PBN	Preston Fylde Jn – Kirkham North Jn	0	33	8	28	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	13	NW4005	PBN	Kirkham North Jn – Poulton Jn	8	28	14	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	14	NW4005	PBN	Poulton Jn – Blackpool North	14	40	17	49	Y	Y	Y	Y	Y	Y	Y	Y	R1	N	"R1Prohibited Blackpool North platforms
7 and 8"
London-North-Western-North	0820	15	NW4007	KBS1	Kirkham North Jn – Blackpool South	8	28	20	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	16	NW4009	WPS	Poulton – End of Line	14	40	18	08	N	N	N	N	N	N	N	N	N	N	"Line out of use from 14m 75ch to the end
of the line
NC/G1/2001/LNW294"
London-North-Western-North	0820	17	NW4011	MSM	"Morecambe South Jn – Morecambe
Buffer Stops"	0	00	2	12	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	18	NW4013	HBL	Hest Bank Jn – Bare Lane Jn	0	00	1	30	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	19	NW4017	MHH	Morecambe Jn – Heysham Port	0	00	4	01	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	20	NW4019	OXW	Oxenholme – Windermere	0	00	10	15	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	21	NW4021	UCJ	Upperby Jn – Bog Jn	0	38	1	07	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0820	22	NW4021	UCJ	Bog Jn – Rome St Jn	1	07	1	23	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0820	23	NW4023	ULR	Upperby Jn – London Rd Jn	0	00	0	34	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0820	24	NW4025	MCG	Currock Jn – Bog Jn	0	00	0	44	N	N	N	N	N	Y	Y	Y	N	N	
London-North-Western-North	0820	25	NW4027	BSN	"Bruntill Branch Jn - Stainton Jn via Down
and Up Brunthill Branch Siding"	0	66	0	2	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0820	26	NW4027	ETC	"End of Line Buffer Stops - Network Rail
Boundary / Brunthill via Down and Up
Brunthill line"	96	9	95	6	N	N	N	N	N	N	N	N	N	N	
