Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	220	221	222	Notes
London-North-Western-North	0836	1	NW5005	SMA	"Heald Green South Jn – Heald Green West
Jn"	1	48	1	10	N	N	Y	Y	N	Y	Y	Y	N	
London-North-Western-North	0836	2	NW5007	MIA	Manchester Airport – Heald Green North Jn	0	00	1	51	N	N	Y	Y	N	Y	Y	Y	N	
London-North-Western-North	0836	3	NW5008	LEC6	"Little Bridgeford Jn – Searchlight Lane Jn
(Change of ELR and mileage) (Up line only)"	137	42	138	55	Y	Y	Y	Y	N	N	Y	Y	N	
London-North-Western-North	0836	4	NW5008	NBS	"Searchlight Lane Jn (Change of ELR and
mileage) – Stone Jn"	4	06	0	00	Y	Y	Y	Y	N	N	Y	Y	N	
London-North-Western-North	0836	5	NW5008	NBS1	"Norton Bridge Jn – Yamfield Jn (Norton
Bridge East Chord)"	4	14	2	50	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Western-North	0836	6	NW5009	CMD2	Colwich Jn – Stone Jn	38	61	27	00	N	N	Y	Y	N	N	Y	T	N	
London-North-Western-North	0836	7	NW5009	CMD2	Stone Jn – Stoke Jn	27	00	20	36	N	N	Y	Y	N	N	Y	T	N	
London-North-Western-North	0836	8	NW5009	CMD2	Stoke Jn – Glebe Street Jn	20	36	20	10	N	N	Y	Y	N	N	Y	T	Y	
London-North-Western-North	0836	9	NW5009	CMD2	Glebe Street Jn – Change of ELR	20	10	15	65	N	N	Y	Y	N	N	Y	T	Y	
London-North-Western-North	0836	10	NW5009	CMD1	Change of ELR – Kidsgrove Jn	16	00	13	68	N	N	Y	Y	N	N	Y	T	Y	
London-North-Western-North	0836	11	NW5009	CMD1	"Kidsgrove Jn – Macclesfield Hibel Road
(Change of ELR )"	13	68	0	00	N	N	Y	Y	N	N	Y	T	N	
London-North-Western-North	0836	12	NW5009	MCH	"Macclesfield Hibel Road (Change of  ELR) –
Cheadle Hulme North Jn"	9	37	0	00	N	N	Y	Y	N	N	Y	T	N	
London-North-Western-North	0836	13	NW5010	SCQ1	Glebe Street Jn – Change of Mileage	20	08	20	33	N	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0836	14	NW5010	SCQ1	"Change of Mileage – Change of Mileage
(Site of Former Milton Jn)"	0	00	3	51	N	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0836	15	NW5010	SCQ2	"Change of Mileage (Site of Former Milton
Jn) – Change of Mileage (Site of Former
Leek Brook Jn)"	0	00	6	65	N	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0836	16	NW5010	SCQ3	"Change of Mileage (Site of Former Leek
Brook Jn) – Caldon Quarry"	0	00	8	01	N	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0836	17	NW5011	HNS	Heaton Norris Jn – Guide Bridge Station Jn	0	00	4	73	N	N	N	Y	Y	"R1
R2"	Y	Y	N	"R115mph Denton Down platform
R25mph Denton Up platform"
London-North-Western-North	0836	18	NW5012	NSS	"Route Boundary (LN3505) (North Stafford
Jn) – Stoke Jn"	1	40	0	00	N	N	Y	N	N	N	Y	Y	Y	
London-North-Western-North	0836	19	NW5013	DJO1	"Denton Jn – Change of Mileage (Site of
Former Crowthorne Jn)"	4	10	5	28	N	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0836	20	NW5013	DJO2	"Change of Mileage (Site of Former
Crowthorne Jn) – Change of Mileage (Site
of Former Ashton Moss South Jn)"	0	53	1	19	N	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0836	21	NW5013	AMJ	"Change of Mileage (Site of Former Ashton
Moss South Jn) – Ashton Moss North Jn"	0	00	0	40	N	N	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0836	22	NW5015	HAJ	Hadfield – Dinting East Jn	12	61	12	00	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0836	23	NW5015	HAJ	Dinting East Jn – Dinting West Jn	12	00	11	66	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0836	24	NW5015	HAJ	Dinting West Jn – Hyde Jn	11	66	6	16	N	N	N	N	N	N	N	N	N	
