Route	page	seq	Line of route	LR	Line of Route/Sector Description	M	Ch	M	Ch	Gauge	Notes							
London-North-Western-North	0980	1								W6A	W7	W8	W9	W9Plus	W10	W10A	W12	
London-North-Western-North	0980	2	NW5009	CMD1	Change of ELR – Kidsgrove Jn	13	68	16	00	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0980	3	NW5009	CMD1	"Kidsgrove Jn – Macclesfield Hibel Road
(Change of ELR)"	13	68	0	00	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0980	4	NW5009	MCH	"Macclesfield Hibel Road (Change of
ELR) – Cheadle Hulme North Jn"	9	37	0	00	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0980	5	NW5010	SCQ1	Glebe Street Jn – Change of Mileage	20	08	20	33	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	0980	6	NW5010	SCQ1	"Change of Mileage – Change of Mileage
(Site of Former Milton Jn)"	0	00	3	51	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	0980	7	NW5010	SCQ2	"Change of Mileage (Site of Former
Milton Jn) – Change of Mileage (Site of
Former Leek Brook Jn)"	0	00	6	65	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	0980	8	NW5010	SCQ3	"Change of Mileage (Site of Former Leek
Brook Jn) – Caldon Quarry"	0	00	8	01	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	0980	9	NW5011	HNS	"Heaton Norris Jn – Guide Bridge Station
Jn"	0	00	4	73	"Y *
R1"	Y	S1	N	N	N	N	N	"R1* applies between Heaton Norris
Jn and Denton Jn (4m 13ch)
S1Between Heaton Norris Jn and
Denton Jn (4m 13ch) the
following combinations are
permitted to run
Up to:
2591(h) x 2500(w)
on FEA FCA FSA/FTA wagons
2591(h) x 2500(w)
on KFA wagons
2896(h) x 2500(w)
on FLA wagons

S16FT up to 2550(w)
on KFA wagons
S17FT up to 2550(w)
on FEA FSA/FTA wagons"
London-North-Western-North	0980	10	NW5012	NSS	Route Boundary (LN3505) – Stoke Jn	1	40	0	00	Y	Y	N	N	N	N	N	N	
London-North-Western-North	0980	11	NW5013	DJO1	"Denton Jn – Change of Mileage (Site of
Former Crowthorne Jn)"	4	10	5	28	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	0980	12	NW5013	DJO2	"Change of Mileage (Site of Former
Crowthorne Jn) – Change of Mileage
(Site of Former Ashton Moss South Jn)"	0	53	1	19	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	0980	13	NW5013	AMJ	"Change of Mileage (Site of Former
Ashton Moss South Jn) – Ashton Moss
North Jn"	0	00	0	40	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	0980	14	NW5015	HAJ	Hadfield – Dinting East Jn	12	61	12	00	Y *	N	N	N	N	N	N	N	
London-North-Western-North	0980	15	NW5015	HAJ	Dinting East Jn – Dinting West Jn	12	00	11	66	Y *	N	N	N	N	N	N	N	
