Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	165	166	168	170	171	172	175	180	220	221	Notes
London-North-Western-South	0470	1	MD501	DBP3	"Water Orton East Jn (Change of
Mileage) – Landor Street Jn"	34	43	40	60	N	N	E	Y	N	E	R1	N	Y	Y	"R1Prohibited between Water Orton East
Jn and Castle Bromwich Jn"
London-North-Western-South	0470	2	MD501	DBP3	Landor Street Jn – Proof House Jn	40	60	41	51	N	N	Y	Y	N	N	Y	N	Y	Y	
London-North-Western-South	0470	3	MD545	KJW	"Kingsbury Jn – Whitacre Jn (Change of
Mileage)"	29	39	31	69	N	N	E	Y	N	"E
R1"	N	N	Y	Y	"R1Route prohibited to Class 172/2 and
172/3"
London-North-Western-South	0470	4	MD555	NWO	"uneaton North Junction – Lmit of
Electrification"	10	18	10	00	N	N	N	Y	N	N	N	N	Y	Y	
London-North-Western-South	0470	5	MD555	NWO	"imit of Electrification – Whitacre West
Junction"	10	00	0	00	N	N	N	Y	N	N	N	N	Y	Y	
London-North-Western-South	0470	6	MD555	DBP3	"Whitacre West Jn – Water Orton East
Jn"	31	69	34	43	N	N	E	Y	N	E	N	N	Y	Y	
London-North-Western-South	0470	7	MD560	WOP	"ater Orton West Jn – Park Lane
Change of ELR"	35	15	36	04	N	N	E	Y	N	N	N	N	Y	Y	
London-North-Western-South	0470	8	MD560	CBR2	"Park Lane Change of ELR – Park Lane
Jn"	36	04	36	15	N	N	E	Y	N	N	N	N	Y	Y	
London-North-Western-South	0470	9	MD565	CBR1	Castle Bromwich Jn – Park Lane Jn	0	55	0	00	E	N	E	Y	N	N	Y	N	Y	Y	
London-North-Western-South	0470	10	MD565	CBR2	Park Lane Jn – Ryecroft Jn	36	04	47	48	E	N	E	Y	N	N	Y	N	Y	Y	
London-North-Western-South	0470	11	MD570	LSS	Landor Street Jn – St Andrews Jn	40	60	41	18	N	N	Y	Y	N	E	N	N	Y	Y	
London-North-Western-South	0470	12	MD570	SKN	St Andrews Jn – Bordesley Jn	41	18	41	44	Y	Y	Y	Y	N	Y	N	N	Y	Y	
London-North-Western-South	0470	13	MD570	SKN	"Bordesley Jn – Kings Norton Jn (Camp
Hill Lines)"	41	44	46	77	N	N	N	Y	N	R1	N	N	Y	Y	"R1Route prohibited to Class 172/0 and
172/1"
London-North-Western-South	0470	14	MD575	SAG	St Andrews Jn – Grand Jn	0	00	0	52	R1	Y	Y	Y	N	Y	N	N	Y	Y	R1Route prohibited to Class 165/1
London-North-Western-South	0470	15	MD580	LEL	Lifford East Jn – Lifford West Jn	46	11	46	36	N	N	N	Y	N	N	N	N	Y	Y	
London-North-Western-South	0470	16	MD701	MCJ1	"London Marylebone – Neasden South
Jn (Change of Mileage)"	205	77	200	65	R1	N	Y	N	N	R2	N	N	N	N	"R1Route prohibited to Class 165/1
R2Route prohibited to Class 172/2 and
172/3"
London-North-Western-South	0470	17	MD701	NAJ1	"Neasden South Jn (Change of
Mileage) – Northolt Jn"	6	30	0	00	R1	N	Y	N	N	Y	N	N	N	N	R1Route prohibited to Class 165/1
London-North-Western-South	0470	18	MD701	NAJ2	Northolt Jn – Princes Risborough Jn	0	00	24	50	Y	Y	Y	N	N	Y	Y	Y	Y	Y	
