Route	page	seq	Line of route	ELR	ine of Route/Sector escription	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
London-North-Western-South	0503	1	MD101	LEC1	ondon Euston – Camden Jn DC Lines	0	00	1	36	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	2	MD101	LEC1	"amden Jn DC Lines – Camden Jn
NLL)"	1	36	1	51	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	3	MD101	LEC1	"amden Jn – West London Jn
Willesden)"	1	51	5	23	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	4	MD101	LLG	"est London Jn (Willesden) – Sudbury
n (Willesden Relief Lines)"	0	12	2	03	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	5	MD101	LEC1	"est London Jn (Willesden)  –
arlesden Jn"	5	23	6	01	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	6	MD101	LEC1	arlesden Jn – Watford South Jn	6	01	17	06	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	7	MD101	LEC1	atford South Jn – Bletchley South Jn	17	06	46	41	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	8	MD101	LEC1	"letchley South Jn – Bletchley
Platforms 1 – 5) – Denbigh Hall South
n"	46	41	47	52	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	9	MD101	LEC1	"enbigh Hall South Jn – Hanslope North
n"	47	52	56	66	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	10	MD101	LEC1	anslope North Jn – Hillmorton Jn	56	66	81	28	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	11	MD101	LEC1	illmorton Jn – Rugby Trent Valley Jn	81	28	83	18	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	12	MD101	LEC2	"ugby Trent Valley Jn – Armitage Jn
NW1001 Sectional Appendix Boundary)"	83	18	119	20	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	13	MD105	HNR	"anslope Jn (MD101) – Northampton
outh Jn"	56	66	65	55	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	14	MD105	HNR	"orthampton South Jn – Northampton
orth Jn"	65	55	66	12	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	15	MD105	HNR	"orthampton North Jn – Rugby South
n"	66	12	83	54	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0503	16	MD120	CWJ	"amden Jn DC lines (Down DC line
ileage) – Kilburn High Road (DC
ines)"	1	36	3	01	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
