Route	page	seq	Line of route	ELR	ine of Route/Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Western-South	0535	1	MD736	OXD	"oute Boundary (GW277) –Gavray
Junction"	29	25	19	00	8	N	N	Y	N	N	N	
London-North-Western-South	0535	2	MD736	OXD	avray Junction – Gates (Claydon)	19	00	12	00	7	N	N	Y	N	N	N	
London-North-Western-South	0535	3	MD736	OXD	ates (Claydon) – Buffer Stops	12	00	1	31	7	N	N	Y	N	N	N	Line non operational
London-North-Western-South	0535	4	MD736	OXD	"uffer Stops – Flyover Junction (Change
of ELR)"	1	27	0	62	7	N	N	Y	N	N	N	
London-North-Western-South	0535	5	MD736	BFO	"lyover Junction (Change of ELR) –
Flyover Junction Summit"	0	00	0	68	7	N	N	Y	N	N	N	
London-North-Western-South	0535	6	MD736	DHF	"lyover Junction Summit – Limit of
Electrification"	0	68	1	37	7	N	N	Y	N	N	N	
London-North-Western-South	0535	7	MD736	DHF	"imit of Electrification – Bletchley Flyover
North Jn"	1	37	1	61	7	N	N	Y	N	N	N	
London-North-Western-South	0535	8	MD736	DHF	"letchley Flyover North Jn – Denbigh Hall
South Jn"	1	61	1	73	7	N	N	Y	N	N	N	
London-North-Western-South	0535	9	MD740	BFO	"lyover Jn (Summit) – Fenny Stratford
Bletchley Flyover Jn"	0	68	1	59	8	N	N	Y	N	N	N	
London-North-Western-South	0535	10	MD745	BSG	"Bicester South Junction – Gavray
Junction"	0	00	0	52	-	N	N	Y	N	N	N	
London-North-Western-South	0535	11	MD801	WSJ1	"Wolverhampton North Jn – Oxley,
Stafford Road Jn (Change of Mileage)"	143	52	142	79	8	Y	Y	Y	Y	N	N	
London-North-Western-South	0535	12	MD801	WSJ2	"Oxley, Stafford Road Jn (Change of
Mileage) – Limit of Electrification"	143	02	143	65	8	Y	Y	Y	Y	N	N	
London-North-Western-South	0535	13	MD801	WSJ2	Limit of Electrification – Madeley Jn	143	65	156	19	8	"H
R1"	"H
R1"	Y	"H
R1"	N	N	"R1Prohibited between Oxley and
Cosford (Bridge No.359 at 145m
65ch – Bilbrook station) on
Down Wellington line, but
permitted over the Up
Wellington line in both
directions, under Single Line
Working arrangements over the
Up Wellington line for Down
direction movements."
London-North-Western-South	0535	14	MD801	WSJ2	"Madeley Jn – Route Boundary (GW731)
(Abbey Foregate )"	156	19	170	46	8	"H
R1"	"H
R1"	Y	"H
R1"	N	N	"R120 mph over Bridge No.415
between Wellington and Allscott
GF at 163m 70ch in the down
direction"
London-North-Western-South	0535	15	MD805	OXC	ushbury (Oxley) Jn – Stafford Road Jn	1	02	0	00	8	H	H	Y	H	N	N	
London-North-Western-South	0535	16	MD810	MJI1	"Madeley Junction – Site of Former
Lightmoor Jn"	156	19	160	29	8	N	N	Y	N	N	N	
London-North-Western-South	0535	17	MD810	MJI2	"Site of Former Lightmoor Jn – Ironbridge
Power Station (NR Boundary)"	156	19	160	29	8	N	N	Y	N	N	N	
