Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0962	1	SC113	DMY	Winchburgh Jn – Dalmeny Jn	34	54	39	03	N	N	N	Y	Y	Y	Y	
Scotland	0962	2	SC115	MRL1	Cowlairs West Jn – Maryhill Park Jn	8	26	5	51	N	N	N	Y	Y	Y	Y	
Scotland	0962	3	SC115	MRL2	Maryhill Park Jn – Knightswood North Jn	4	40	5	67	N	N	N	Y	Y	Y	Y	
Scotland	0962	4	SC1150	MLA	Maryhill Park Jn – Anniesland	0	00	0	70	N	N	N	Y	N	Y	Y	
Scotland	0962	5	SC116	CSN	Cowlairs East Jn – Cowlairs North Jn	0	00	0	21	N	N	N	Y	Y	Y	Y	
Scotland	0962	6	SC117	GMH	Grangemouth Jn – Grangemouth	0	00	3	67	N	N	N	"R1
R2"	N	R2	R2	"R1Route prohibited to Classes 150/0, 150/2
and 15/09
R2Prohibited except for the purpose of
setting back behind Signals ECL290 or
ECL292"
Scotland	0962	7	SC119	GHL	Greenhill Upper Jn – Greenhill Lower Jn	0	00	0	52	N	N	N	Y	Y	Y	Y	
Scotland	0962	8	SC119	SCM3	Greenhill Lower Jn – Carmuirs West Jn	106	62	108	74	N	N	N	Y	Y	Y	Y	
Scotland	0962	9	SC119	SCM3	Carmuirs West Jn – Stirling Middle Jn	108	76	118	08	N	N	N	Y	Y	Y	Y	
Scotland	0962	10	SC119	SCM3	"Stirling Middle Jn – Change of ELR
(Dunblane)"	118	08	123	40	N	N	N	Y	Y	Y	Y	
Scotland	0962	11	SC119	SCM4	"Change of ELR (Dunblane) – Perth
South Jn"	123	40	150	61	N	N	N	Y	Y	Y	Y	
Scotland	0962	12	SC119	SCM5	Perth South Jn – Change of Mileage	150	61	151	03	N	N	N	Y	Y	Y	Y	
Scotland	0962	13	SC119	SCM5	Change of Mileage – Dundee Central Jn	21	01	0	36	N	N	N	Y	Y	Y	Y	
Scotland	0962	14	SC119	ECN2	Dundee Central Jn – Dundee	58	69	59	14	N	N	N	Y	Y	Y	Y	
Scotland	0962	15	SC123	NBE	Bathgate – Change of ELR	25	18	25	00	N	N	N	Y	N	Y	Y	
Scotland	0962	16	SC123	NEM1	Change of ELR – Drumgelloch	25	00	11	70	N	N	N	Y	N	Y	Y	
Scotland	0962	17	SC123	NEM1	Drumgelloch – Change of ELR	11	70	11	60	N	N	N	Y	N	Y	Y	
Scotland	0962	18	SC123	NEM2	Change of ELR – High Street Jn	11	60	0	28	"E
R1"	"E
R1"	"E
R1"	Y	"R2
R3"	Y	"R4
R5"	"R1Prohibited between Change of ELR (11m
60ch) and Bellgrove Jn
R2Prohibited  between Change of ELR (11m
60ch) and Airdrie
R3Prohibited Airdrie through platforms
R4
Prohibited between Aidrie and High Street
Jn when laden
R5Prohibited Bellgrove down platform with
deflated suspension"
Scotland	0962	19	SC123	NEM2	High Street Jn – Change of ELR	0	28	0	00	N	N	N	Y	Y	Y	E	
Scotland	0962	20	SC123	NEM3	Change of ELR – Finnieston East Jn	0	00	2	19	N	N	N	Y	Y	Y	E	
