Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Scotland	1006	1	SC147	ECM8	Prestonpans Jn – Calton South Tunnel	9	67	0	29	Y	Y	Y	N	N	N	Y	
Scotland	1006	2	SC147	ECM9	Calton South Tunnel – Waverley East End	0	29	0	21	Y	Y	Y	N	N	N	Y	
Scotland	1006	3	SC147	ECM9	Waverley East End – Edinburgh Waverley	0	21	0	00	Y	Y	Y	N	N	N	Y	
Scotland	1006	4	SC147	EGM4	"Edinburgh Waverley – Waverley West End
(South Lines)"	0	00	0	15	Y	Y	Y	N	N	N	Y	
Scotland	1006	5	SC147	ECN1	"Edinburgh Waverley – Waverley West End
(North Lines)"	0	00	0	15	Y	Y	Y	N	N	N	Y	
Scotland	1006	6	SC147	EGM3	"Waverley West End – Haymarket (South
Lines)"	0	15	1	19	Y	Y	Y	N	N	N	Y	
Scotland	1006	7	SC147	ECN2	"Waverley West End – Haymarket (North
Lines)"	0	15	1	19	Y	Y	Y	N	N	N	Y	
Scotland	1006	8	SC147	EGM2	Haymarket – Haymarket East Jn (South Lines)	46	02	45	72	Y	Y	Y	N	N	N	Y	
Scotland	1006	9	SC147	ECN2	Haymarket – Haymarket East Jn (North Lines)	1	19	1	29	Y	Y	Y	N	N	N	Y	
Scotland	1006	10	SC147	EGM2	"Haymarket East Jn – Haymarket Central Jn
(South Lines)"	45	72	45	35	Y	Y	Y	N	N	N	Y	
Scotland	1006	11	SC147	ECN2	"Haymarket East Jn – Haymarket Central Jn
(North Lines)"	1	29	1	66	Y	Y	Y	N	N	N	Y	
Scotland	1006	12	SC147	EGM2	"Haymarket Central Jn – Haymarket West Jn
(South Lines)"	45	35	44	73	Y	Y	Y	N	N	N	Y	
Scotland	1006	13	SC147	ECN2	"Haymarket Central Jn – Haymarket West Jn
(North Lines)"	1	66	2	41	Y	Y	Y	N	N	N	N	
Scotland	1006	14	SC149	NBK	North Berwick – Drem Jn	22	22	18	15	Y	Y	Y	N	N	N	N	
Scotland	1006	15	SC151	LHS1	Portobello – Leith South Yard (Goods Line)	0	00	2	20	N	N	N	N	N	N	N	
Scotland	1006	16	SC153	CPH	Craigentinny – Powderhall (Goods Line)	0	00	1	78	N	N	N	N	N	N	N	
Scotland	1006	17	SC155	MHL1	Monktonhall Jn – Change of ELR	0	11	5	60	Y	Y	Y	N	N	N	Y	
Scotland	1006	18	SC155	MHL2	Change of ELR – Millerhill East Jn	1	40	0	28	Y	Y	Y	N	N	N	Y	
Scotland	1006	19	SC155	MHL3	Millerhill East Jn – Millerhill Yard (Goods Line)	0	00	0	19	Y	Y	Y	N	N	N	Y	
Scotland	1006	20	SC157	MLE	"Millerhill South Jn – Millerhill East Jn (Goods
Line)"	0	09	0	28	Y	Y	Y	N	N	N	Y	
Scotland	1006	21	SC159	NDE2	"Millerhill West Jn – Millerhill South Jn /
Millerhill Yard"	6	52	5	72	N	N	N	N	N	N	N	
Scotland	1006	22	SC161	NDE1	"Millerhill Yard – Junction with Niddrie West
Line"	5	52	3	36	Y	Y	Y	N	N	N	Y	
