Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Scotland	1011	1	SC005	CSP	Carstairs Station Jn – Carstairs East Jn	73	37	74	10	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	2	SC007	EGS2	Midcalder Jn – Holytown Jn	23	11	1	27	"8
R1"	Y	Y	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2010/ICP-RA/SC012 applies until
30/09/2014"
Scotland	1011	3	SC009	LNK	Lanark – Lanark Jn	2	45	0	03	5	Y	Y	R1	Y	N	N	Y	R1	N	"R1Route prohibited to Class 20 and
Class 37/5 locomotives that conform
to RA6"
Scotland	1011	4	SC011	WWD	Law Jn – Holytown Jn	84	08	89	66	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	5	SC011	EGS2	Holytown Jn – Mossend East Jn	1	27	0	40	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	6	SC011	EGS1	Mossend East Jn – Uddingston Jn	3	63	0	03	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	7	SC013	SHR	Wishaw Central Jn – Shieldmuir Jn	86	63	87	43	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	8	SC015	MDN	"Mossend East Jn – Mossend North Jn
(North Curve)"	0	40	0	06	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	9	SC017	MDE	"Mossend East Jn – Mossend South Jn
(East Curve)"	0	31	0	00	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	10	SC019	MDW	"Mossend South Jn – Mossend West Jn
(West Curve)"	91	08	91	50	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	11	SC021	COS2	Coltness – Change of ELR	0	09	0	00	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	12	SC021	COS1	Change of ELR – Garriongill Jn	14	15	15	29	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	13	SC023	HMN1	Motherwell – Change of ELR	0	08	1	44	7	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	14	SC023	HMN2	Change of ELR – Newton, Hamilton Jn	6	61	0	00	7	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	15	SC024	LRK	Larkhall – Haughhead Jn	3	00	0	00	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	16	SC025	ARG1	"Rutherglen Central Jn – Bridgeton Yard
North End"	0	00	0	43	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	17	SC025	ARG2	"Bridgeton Yard North End – Exhibition
Centre"	0	86	4	03	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	18	SC025	ARG2	"Exhibition Centre – Finnieston East Jn
(Down line)"	4	03	4	41	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	19	SC025	ARG2	"Exhibition Centre – Finnieston West Jn
(Up line)"	4	03	4	74	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1011	20	SC027	RNC	"Rutherglen West Jn – Rutherglen North
Jn (West Curve)"	0	00	0	29	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
