Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	43	47/2	47/4	47/7	56	57	58	Notes
Scotland	1035	1	SC117	GMH	Grangemouth Jn – Grangemouth	0	00	3	67	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	2	SC119	GHL	Greenhill Upper Jn – Greenhill Lower Jn	0	00	0	52	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	3	SC119	SCM3	Greenhill Lower Jn – Carmuirs West Jn	106	62	108	74	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	4	SC119	SCM3	Carmuirs West Jn – Stirling Middle Jn	108	76	118	08	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	5	SC119	SCM3	"Stirling Middle Jn – Change of ELR
(Dunblane)"	118	08	123	40	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	6	SC119	SCM4	"Change of ELR (Dunblane) – Perth South
Jn"	123	40	150	61	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	7	SC119	SCM5	Perth South Jn – Change of Mileage	150	61	151	03	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	8	SC119	SCM5	Change of Mileage – Dundee Central Jn	21	01	0	36	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	9	SC119	ECN2	Dundee Central Jn – Dundee	58	69	59	14	"8
R1"	Y	Y	Y	Y	Y	Y	Y	"R1RA Change
STNC NC/G1/2008/SCOT0337 applies until 29/08/2013"
Scotland	1035	10	SC123	NBE	Bathgate – Change of ELR	25	18	25	00	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	11	SC123	NEM1	Change of ELR – Drumgelloch	25	00	11	70	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	12	SC123	NEM1	Drumgelloch – Change of ELR	11	70	11	60	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	13	SC123	NEM2	Change of ELR – High Street Jn	11	60	0	28	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	14	SC123	NEM2	High Street Jn – Change of ELR	0	28	0	00	5	R1	R1	R1	R1	R1	R1	N	R110mph over bridge 240/116 (0m 18ch)
Scotland	1035	15	SC123	NEM3	Change of ELR – Finnieston East Jn	0	00	2	19	5	Y	Y	Y	Y	Y	Y	N	
Scotland	1035	16	SC123	NEM3	"Finnieston East Jn – Finnieston West Jn
(Down Line)"	2	19	2	53	"7
R1"	R2	R2	R2	R2	R2	R2	R2	"R1RA Change
STNC NC/GI/2010/ICP-RA/SC008 applies until
30/09/2014
R210mph over bridge 240/128 (2m 24ch)"
Scotland	1035	17	SC123	NEM3	"Finnieston East Jn – Finnieston West Jn
(Up Line)"	2	19	2	53	"5
R1"	R2	R2	"R2
R3"	R2	N	N	N	"R1RA Change
STNC NC/GI/2010/ICP-RA/SC008 applies until
30/09/2014
R210mph over bridge 240/128 (2m 24ch)
R3Route prohibited to Class 47/4 locomotives
that conform to RA7"
Scotland	1035	18	SC123	NEM3	Finnieston West Jn – Hyndland North Jn	2	53	4	28	7	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	19	SC123	NEM3	Hyndland North Jn – Change of ELR	4	28	4	63	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	20	SC123	NEM4	Change of ELR – Knightswood North Jn	0	00	0	74	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1035	21	SC123	NEM5	"Knightswood North Jn – Change of ELR
(Between Bowling and Dumbarton East)"	5	67	13	40	10	Y	Y	Y	Y	Y	Y	Y	
