Route	page	seq	Line of Route	Line of Route/Sector Description	Gauge								Notes
Scotland	1086	1			W6	W7	W8	W9	W9Plus	W10	W10A	W12	
Scotland	1086	2	SC119	Greenhill Lower Jn – Carmuirs West Jn	Y	Y	Y	Y	N	N	N	N	
Scotland	1086	3	SC119	Carmuirs West Jn – Stirling Middle Jn	Y	Y	Y	N	N	N	N	N	
Scotland	1086	4	SC119	Stirling Middle Jn – Perth South Jn	Y *	Y	S1	N	N	N	N	N	"S1The following combinations are permitted:
Up to:
2590 high x 2500 wide box on FCA
All Lines
2590 high x 2550 wide box
on FKA IKA wagons
All Lines
Safeway refrigerated box on IKA FKA IFA
FIA wagon
2896 high x 2500 wide box
on FKA wagons
Up Line
2675 high x 2550 wide box
on FCA wagons
Up Line
2896 high x 2600 wide box
on IKA  wagons
Up line 30 mph at Br.66
[140m 09ch]"
Scotland	1086	5	SC119	Perth South Jn – Dundee Central Jn	Y *	Y	Y	N	N	N	N	N	
Scotland	1086	6	SC123	Bathgate – Airdrie	Y	Y	Y	Y	N	Y	N	N	
Scotland	1086	7	SC123	Airdrie – Sunnyside Jn	Y	Y	N	N	N	N	N	N	
Scotland	1086	8	SC123	Sunnyside Jn – High Street Jn	Y *	Y	Y	N	N	N	N	N	
Scotland	1086	9	SC123	High Street Jn – Knightswood North Jn	Y *	Y	N	N	N	N	N	N	
Scotland	1086	10	SC123	Knightswood North Jn – Craigendoran Jn	Y *	Y	Y	N	N	N	N	N	
Scotland	1086	11	SC123	Craigendoran Jn – Helensburgh Central	Y *	N	N	N	N	N	N	N	
Scotland	1086	12	SC125	Hyndland East Jn – Dalmuir (via Yoker)	Y *	Y	N	N	N	N	N	N	
Scotland	1086	13	SC127	"Sunnyside Jn – Gunnie Yard Goods Line)
(OOU)"	–	–	–	–	–	–	–	–	Line Out of Use
Scotland	1086	14	SC129	Springburn – Bellgrove Jn	Y	Y	Y	N	N	N	N	N	
Scotland	1086	15	SC129	"Sighthill East Jn – Glasgow Works
(Springburn)   (Railcare Ltd)"	Y *	N	N	N	N	N	N	N	
Scotland	1086	16	SC131	High Street Jn – Shields Jn	Y *	Y	Y	N	N	N	N	N	
Scotland	1086	17	SC133	Westerton Jn – Milngavie	Y *	Y	N	N	N	N	N	N	
