Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
Western-and-Wales	0686	1	GW105	MLN1	Parson Street Jn – Worle Jn	120	28	135	11	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	2	GW105	MLN1	Worle Jn – Uphill Jn (direct)	135	11	138	04	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	3	GW105	MLN1	Uphill Jn – Fordgate	138	04	154	12	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	4	GW107	WSM	"Worle Jn – Uphill Jn via
Weston-Super-Mare"	135	11	139	05	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	5	GW108	MLN1	Fordgate – Cogload Jn (Up)	154	12	158	23	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	6	GW108	MLN1	"Cogload Jn (Up) – Norton Fitzwarren
Jn (Connection - West Somerset
Railway)"	158	23	164	60	E	Y	Y	Y	Y	N	N	R1	R1	R1Prohibited Taunton Down Bay
Western-and-Wales	0686	7	GW108	MLN1	"Norton Fitzwarren Jn (Connection -
West Somerset Railway) – Cowley
Bridge Jn"	164	40	192	52	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	8	GW108	MLN1	"Cowley Bridge Jn – Exeter St Davids
Jn"	192	52	194	00	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	9	GW108	MLN1	"Exeter St Davids Jn – Newton Abbot
East Jn"	194	00	213	75	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	10	GW108	MLN1	"Newton Abbot East Jn – Newton
Abbot West Jn"	213	75	214	43	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	11	GW108	MLN1	"Newton Abbot West Jn – Tavistock Jn
Yard"	214	43	242	55	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	12	GW108	MLN1	Tavistock Jn Yard – Laira Jn	242	55	243	67	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	13	GW108	MLN1	Laira Jn – Lipson Jn	243	67	244	35	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	14	GW108	MLN1	"Lipson Jn – Change of ELR (Site of
Former Devonport Jn / Cornwall Loop)"	244	35	246	15	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	15	GW108	MLN2	"Change of ELR (Site of Former
Devonport Jn / Cornwall Loop) – St
Budeaux Jn"	247	28	250	00	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	16	GW108	MLN2	St Budeaux Jn – Change of ELR	250	00	256	38	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	17	GW108	MLN3	Change of ELR – Liskeard Jn	256	40	264	66	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	18	GW108	MLN3	Liskeard Jn – Lostwithiel Jn	264	66	277	54	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	19	GW108	MLN3	Lostwithiel Jn – Par Loop Jn	277	54	281	57	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	20	GW108	MLN3	Par Loop Jn – Burngullow Jn	281	57	288	26	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	21	GW108	MLN3	Burngullow Jn – Penwithers Jn	288	26	301	25	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	22	GW108	MLN3	Penwithers Jn – Change of ELR	301	25	305	65	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	23	GW108	MLN4	Change of ELR – St Erth Jn	305	67	320	73	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	24	GW108	MLN4	St Erth Jn – Penzance	320	73	326	50	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0686	25	GW110	ANL	"Old Oak Common West – Greenford
East Jn"	3	20	7	15	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0686	26	GW110	ANL	"Greenford East Jn – Greenford West
Jn"	7	15	7	48	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0686	27	GW110	ANL	"Greenford West Jn – Route Boundary
(MD705) (Northolt Jn)"	7	48	8	60	E	E	E	E	E	E	E	N	N	
