Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	165	166 RHM	168	170	171	172	175	180	220	221	222	Notes
Western-and-Wales	0697	1	GW103	MLN1	Paddington – Old Oak Common West	0	05	3	20	R1	"R1
R2"	Y	N	N	"R3
R4"	Y	Y	R5	R5	R6	"R110 mph Kensal Green CSP Carriage lines
1 and 2 when laden
R2Prohibited Paddington platform 7
R3Prohibited Paddington platform 2
R415mph Paddington platform 4
R5100mph maximum speed
R6Prohibited between Paddington and
Kensal Green"
Western-and-Wales	0697	2	GW103	MLN1	"Old Oak Common West – Acton East
Jn"	3	20	4	07	Y	Y	Y	N	N	Y	Y	Y	R1	R1	Y	R1100mph maximum speed
Western-and-Wales	0697	3	GW103	MLN1	Acton East Jn – West Ealing Jn	4	07	6	54	Y	Y	Y	N	Y	Y	Y	Y	R1	R1	Y	R1100mph maximum speed
Western-and-Wales	0697	4	GW103	MLN1	West Ealing Jn – Hanwell Jn	6	54	7	19	Y	Y	Y	N	Y	R1	Y	Y	R2	R2	N	"R1Route prohibited to Class 172/2 and 172/3
R2100mph maximum speed"
Western-and-Wales	0697	5	GW103	MLN1	"Hanwell Jn – Heathrow Airport Jn
(Down Main)"	7	19	11	15	Y	Y	Y	N	N	R1	Y	Y	R2	R2	N	"R1Route prohibited to Class 172/2 and 172/3
R2100mph maximum speed"
Western-and-Wales	0697	6	GW103	MLN1	"Heathrow Airport Jn (Down Main) –
Stockley Bridge Jn (Limit of
Electrification)"	11	15	12	09	Y	Y	Y	N	N	R1	Y	Y	R2	R2	N	"R1Route prohibited to Class 172/2 and 172/3
R2100mph maximum speed"
Western-and-Wales	0697	7	GW103	MLN1	"Stockley Bridge Jn (Limit of
Electrification) – Slough"	12	09	18	36	Y	Y	Y	N	N	R1	Y	Y	R2	R2	N	"R1Route prohibited to Class 172/2 and 172/3
R2100mph maximum speed"
Western-and-Wales	0697	8	GW103	MLN1	Slough – Maidenhead Jn	18	36	24	24	Y	Y	Y	N	N	R1	Y	Y	R2	R2	N	"R1Route prohibited to Class 172/2 and 172/3
R2100mph maximum speed"
Western-and-Wales	0697	9	GW103	MLN1	Maidenhead Jn – Henley Branch Jn	24	24	31	04	Y	Y	Y	N	N	R1	Y	Y	R2	R2	N	"R1Route prohibited to Class 172/2 and 172/3
R2100mph maximum speed"
Western-and-Wales	0697	10	GW103	MLN1	Henley Branch Jn – Reading New Jn	31	04	35	40	Y	Y	Y	N	N	R1	Y	Y	R2	R2	N	"R1Route prohibited to Class 172/2 and 172/3
R2100mph maximum speed"
