Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	325	332	360	387	Notes
Western-and-Wales	0718	1	GW490	SWM2	Gloucester Yard Jn – Horton Road Jn	113	03	113	61	H	N	N	N	
Western-and-Wales	0718	2	GW500	BKE	Westbury Line Jn – Oxford Road Jn	36	17	36	67	H	N	N	Y	
Western-and-Wales	0718	3	GW500	BKE	Oxford Road Jn – Southcote Jn	36	67	37	62	H	N	N	Y	
Western-and-Wales	0718	4	GW500	BKE	"Southcote Jn – Route Boundary
(SW125) (Basingstoke)"	37	62	37	76	H	N	N	N	
Western-and-Wales	0718	5	GW500	BHL	Southcote Jn – Change of ELR	37	62	81	19	H	N	N	N	
Western-and-Wales	0718	6	GW500	SWY	"Change of ELR – Heywood Road Jn
(Change of ELR)"	81	19	94	44	H	N	N	N	
Western-and-Wales	0718	7	GW500	WES	"Heywood Road Jn (Change of ELR) –
Fairwood Jn (Change of ELR) (via
Westbury Avoiding Lines)"	94	44	97	02	H	N	N	N	
Western-and-Wales	0718	8	GW500	WEY	"Fairwood Jn (Change of ELR) – Clink
Road Jn (Change of ELR)"	111	18	114	44	H	N	N	N	
Western-and-Wales	0718	9	GW500	FRA	"Clink Road Jn (Change of ELR) –
Blatchbridge Jn (Change of ELR)"	114	44	116	37	H	N	N	N	
Western-and-Wales	0718	10	GW500	WEY	"Blatchbridge Jn (Change of ELR) –
Castle Cary Jn"	116	52	129	50	H	N	N	N	
Western-and-Wales	0718	11	GW500	WEY	"Castle Cary Jn – Route Boundary
(SW175) (Yeovil Pen Mill Jn)"	129	50	130	00	H	N	N	N	
Western-and-Wales	0718	12	GW500	CCL	Castle Cary Jn – Cogload Jn (Down)	115	32	138	30	H	N	N	N	
Western-and-Wales	0718	13	GW5001	SAL	"Route Boundary (SW170) (Wilton Jn)
– Westbury South Jn"	115	40	110	07	H	N	N	N	
Western-and-Wales	0718	14	GW510	WEY	Westbury North Jn – Bradford Jn	109	49	104	40	H	N	N	N	
Western-and-Wales	0718	15	GW510	BFB	Bradford Jn – Bathampton Jn	9	12	0	00	H	N	N	N	
Western-and-Wales	0718	16	GW520	WYL	"Westbury East Loop Jn – Hawkeridge
Jn"	94	77	95	32	H	N	N	N	
Western-and-Wales	0718	17	GW523	WEY	Thingley Jn – Bradford Jn	96	10	104	40	H	N	N	N	
Western-and-Wales	0718	18	GW528	BRL	"North Somerset Jn – Bristol West Jn
via St Philips Marsh"	0	00	1	08	H	N	N	N	
Western-and-Wales	0718	19	GW530	BLL	"Feeder Bridge Jn – Dr Day’s Jn
(Rhubarb Loop)"	117	50	117	73	H	N	N	N	
Western-and-Wales	0718	20	GW540	BSW	Filton Jn No.1 – Patchway Jn No.2	4	40	5	61	H	N	N	N	
Western-and-Wales	0718	21	GW5401	PAC	"Filton West Jn No.1 – Patchway Jn
No.1"	0	40	0	00	H	N	N	N	
Western-and-Wales	0718	22	GW548	"POD/
PBY"	"Parson Street Jn – Network Rail
boundary (BPC)"	120	28	126	34	N	N	N	N	
Western-and-Wales	0718	23	GW560	SWY	"Heywood Road Jn – Westbury North
Jn"	94	45	95	33	H	N	N	N	
Western-and-Wales	0718	24	GW560	WEY	"Westbury North Jn – Fairwood Jn via
Westbury"	109	49	111	18	H	N	N	N	
