Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	08	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Western-and-Wales	0745	1	GW784	NLL	"Alexandra Dock Jn – Network Rail
Boundary (Newport Docks)"	159	60	160	27	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	2	GW790	ROC	Pengam Jn – Change of ELR	168	20	168	61	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	3	GW790	ROA	"Change of ELR – Network Rail
Boundary (ABP Cardiff Docks)"	3	41	4	54	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	4	GW810	CAR	"End of Line (Rhymney) – Ystrad
Mynach South Jn"	24	00	13	41	6	Y	Y	Y	Y	Y	Y	Y	B	
Western-and-Wales	0745	5	GW810	CAR	Ystrad Mynach South Jn – Heath Jn	13	41	3	32	6	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	6	GW810	CAR	"Heath Jn – Cardiff Queen Street North
Jn"	3	32	1	22	6	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	7	GW820	TBD	"Network Rail Boundary (Cwmbargoed)
– Site of Former Taff Bargoed Branch
Jn"	19	59	13	53	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	8	GW820	VON	"Site of Former Taff Bargoed Branch
Jn – Site of Former Penallta Jn"	13	53	12	41	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	9	GW820	PTA	"Site of Former Penallta Jn – Ystrad
Mynach South Jn"	15	01	13	41	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	10	GW828	CRY	Coryton – Heath Jn	2	57	0	15	6	Y	Y	Y	Y	Y	Y	Y	N	
Western-and-Wales	0745	11	GW830	CAM	Merthyr Tydfil – Abercynon Jn	24	44	16	35	6	Y	Y	Y	Y	Y	Y	Y	N	
Western-and-Wales	0745	12	GW830	CAM	Abercynon Jn – Pontypridd Jn	16	35	13	04	6	Y	Y	Y	Y	Y	Y	Y	N	
Western-and-Wales	0745	13	GW830	CAM	Pontypridd Jn – Radyr Jn	13	04	5	23	6	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	14	GW830	CAM	Radyr Jn – Queen Street North Jn	5	23	1	17	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	15	GW830	CAM	"Queen Street North Jn – Queen Street
South Jn"	1	17	0	66	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	16	GW830	CEJ	"Queen Street South Jn – Cardiff East
Jn"	0	22	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	17	GW830	"SWM
2"	Cardiff East Jn – Cardiff West Jn	170	18	170	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	18	GW830	BRY	Cardiff West Jn – Barry Jn	0	10	8	16	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	19	GW830	BRY	Barry Jn – Buffer Stops (Barry Island)	8	16	8	76	6	Y	Y	Y	Y	Y	Y	Y	N	
Western-and-Wales	0745	20	GW834	VON	Network Rail Boundary – Aberdare	26	62	22	34	6	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	21	GW834	"VON/
ALK"	Aberdare – Cwmbach Change of ELR	22	34	20	68	6	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	22	GW834	"ABD/
MOA"	"Cwmbach Change of ELR –
Abercynon Jn (Including Mountain Ash
Down Loop ELR MOA)"	22	01	16	35	6	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0745	23	GW835	THT	End of Line – Treherbert	23	69	23	54	6	Y	Y	Y	Y	Y	Y	Y	N	
Western-and-Wales	0745	24	GW835	THT	Treherbert – Pontypridd Jn	23	54	13	04	6	Y	Y	Y	Y	Y	Y	Y	N	
Western-and-Wales	0745	25	GW839	CAM	Queen Street South Jn – Cardiff Bay	0	66	0	02	6	Y	Y	Y	Y	Y	Y	Y	N	
Western-and-Wales	0745	26	GW840	RAD	Radyr Jn – Leckwith Loop South Jn	4	41	0	69	8	Y	Y	Y	Y	Y	Y	Y	Y	
