Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	43	47/2	47/4	47/7	56	57	58	59	Notes
Western-and-Wales	0750	1	GW105	MLN1	Uphill Jn – Fordgate	138	04	154	12	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	2	GW107	WSM	"Worle Jn – Uphill Jn via
Weston-Super-Mare"	135	11	139	05	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	3	GW108	MLN1	Fordgate – Cogload Jn (Up)	154	12	158	23	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	4	GW108	MLN1	"Cogload Jn (Up) – Norton Fitzwarren
Jn (Connection - West Somerset
Railway)"	158	23	164	60	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	5	GW108	MLN1	"Norton Fitzwarren Jn (Connection -
West Somerset Railway) – Cowley
Bridge Jn"	164	40	192	52	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	6	GW108	MLN1	"Cowley Bridge Jn – Exeter St Davids
Jn"	192	52	194	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	7	GW108	MLN1	"Exeter St Davids Jn – Newton Abbot
East Jn"	194	00	213	75	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	8	GW108	MLN1	"Newton Abbot East Jn – Newton
Abbot West Jn"	213	75	214	43	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	9	GW108	MLN1	"Newton Abbot West Jn – Tavistock Jn
Yard"	214	43	242	55	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	10	GW108	MLN1	Tavistock Jn Yard – Laira Jn	242	55	243	67	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	11	GW108	MLN1	Laira Jn – Lipson Jn	243	67	244	35	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	12	GW108	MLN1	"Lipson Jn – Change of ELR (Site of
Former Devonport Jn/Cornwall Loop)"	244	35	246	15	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	13	GW108	MLN2	"Change of ELR (Site of Former
Devonport Jn/Cornwall Loop) – St
Budeaux Jn"	247	28	250	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	14	GW108	MLN2	St Budeaux Jn – Change of ELR	250	00	256	38	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	15	GW108	MLN3	Change of ELR – Liskeard Jn	256	40	264	66	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	16	GW108	MLN3	Liskeard Jn – Lostwithiel Jn	264	66	277	54	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	17	GW108	MLN3	Lostwithiel Jn – Par Loop Jn	277	54	281	57	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	18	GW108	MLN3	Par Loop Jn – Burngullow Jn	281	57	288	26	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	19	GW108	MLN3	Burngullow Jn – Penwithers Jn	288	26	301	25	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	20	GW108	MLN3	Penwithers Jn – Change of ELR	301	25	305	65	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	21	GW108	MLN4	Change of ELR – St Erth Jn	305	67	320	73	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	22	GW108	MLN4	St Erth Jn – Penzance	320	73	326	50	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	23	GW110	ANL	"Old Oak Common West – Greenford
East Jn"	3	20	7	15	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	24	GW110	ANL	"Greenford East Jn – Greenford West
Jn"	7	15	7	48	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	25	GW110	ANL	"Greenford West Jn – Route Boundary
(MD705) (Northolt Jn)"	7	48	8	60	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0750	26	GW117	GEC	"Greenford East Jn – Greenford South
Jn"	8	70	8	45	8	Y	Y	Y	Y	Y	Y	Y	Y	
