Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	88	97/3	Notes
Western-and-Wales	0763	1	GW108	MLN3	Penwithers Jn – Change of ELR	301	25	305	65	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	2	GW108	MLN4	Change of ELR – St Erth Jn	305	67	320	73	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	3	GW108	MLN4	St Erth Jn – Penzance	320	73	326	50	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	4	GW110	ANL	"Old Oak Common West – Greenford
East Jn"	3	20	7	15	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	5	GW110	ANL	"Greenford East Jn – Greenford West
Jn"	7	15	7	48	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	6	GW110	ANL	"Greenford West Jn – Route Boundary
(MD705) (Northolt Jn)"	7	48	8	60	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	7	GW117	GEC	"Greenford East Jn – Greenford South
Jn"	8	70	8	45	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	8	GW130	AWL	"Route Boundary (EA1310) (Acton
Wells Jn) – Acton East Jn"	0	39	0	08	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	9	GW174	WEL1	West Ealing Jn – Drayton Green Jn	6	56	7	03	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	10	GW174	WEL1	"Drayton Green Jn – Greenford South
Jn"	7	03	8	45	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	11	GW174	WEL1	"Greenford South Jn – Greenford LUL
Bay Jn"	8	45	8	65	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	12	GW174	WEL1	"Greenford LUL Bay Jn – Greenford
West Jn"	8	65	8	76	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	13	GW175	WEL2	"Greenford LUL Bay Jn – Greenford
Station"	8	65	9	06	8	Y	Y	Y	N	N	Y	Y	Y	
Western-and-Wales	0763	14	GW176	HAN	Hanwell Jn – Drayton Green Jn	0	00	0	36	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	15	GW178	BRB	Southall – Brentford Goods	0	00	2	70	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	16	GW180	HLL	"Heathrow Airport Jn (Up and Down
Main) – NR Boundary (BAA)"	11	04	12	27	8	R1	R1	R1	R1	R1	R1	Y	R1	R1See Sectional Appendix Local Instructions
Western-and-Wales	0763	17	GW182	STA	"West Drayton Jn – End of Branch
(Colnbrook)"	13	31	16	25	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	18	GW184	WIN	Slough – Windsor & Eton Central	18	36	21	19	6	N	B	N	N	N	Y	N	N	
Western-and-Wales	0763	19	GW185	WBB	Maidenhead – Bourne End	24	19	28	55	6	N	B	N	N	N	Y	N	Y	
Western-and-Wales	0763	20	GW185	MWB	Bourne End GF – Marlow	0	06	2	54	6	N	B	N	N	N	Y	N	Y	
Western-and-Wales	0763	21	GW187	HEN	Twyford – Henley-on-Thames	31	01	35	48	4	N	B	N	N	N	N	N	B	
Western-and-Wales	0763	22	GW190	RNJ	"Route Boundary (SW210) (Reading
Spur Jn) – Reading New Jn"	68	00	68	35	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0763	23	GW195	RLL	"Reading Southern Jn – Reading East
Jn"	35	33	35	61	8	Y	Y	Y	N	Y	N	Y	N	
Western-and-Wales	0763	24	GW200	DCL	"Chester Line Jn – Route Boundary
(MD401) (Heyford)"	53	12	75	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
